Time	L0B1-100_1	L0D1-100_1	L0F1-100_1	L0B1-100_2	L0D1-100_2	L0F1-100_2	L0B1-100_3	L0D1-100_3	L0B2-100_1	L0F2-100_1	L0B2-100_2	L0F2-100_2	L0B2-100_3	L0B3-100_1	L0F3-100_1	L0B3-100_2	L0F3-100_2	L0B3-100_3	L0B4-100_1	L0D4-100_1	L0F4-100_1	L0B4-100_2	L0F4-100_2	L0B4-100_3	L0B5-100_1	L0D5-100_1	L0F5-100_1	L0B5-100_2	L0F5-100_2	L0B5-100_3	L0D5-100_3	L0F1-100_3	L0F2-100_3	L0F3-100_3	L0F4-100_3	L0F5-100_3
0.0	0.055	0.042	0.044000000000000004	0.055999999999999994	0.042	0.046	0.055999999999999994	0.042	0.054000000000000006	0.049	0.055	0.049	0.055	0.051	0.053	0.052000000000000005	0.053	0.05	0.052000000000000005	0.043	0.044000000000000004	0.053	0.045	0.053	0.053	0.043	0.055	0.055	0.055999999999999994	0.055999999999999994	0.043	0.045	0.049	0.053	0.045	0.053
0.25	0.054000000000000006	0.042	0.045	0.055	0.042	0.046	0.055	0.042	0.054000000000000006	0.049	0.054000000000000006	0.049	0.054000000000000006	0.051	0.053	0.052000000000000005	0.053	0.05	0.052000000000000005	0.043	0.044000000000000004	0.053	0.045	0.053	0.054000000000000006	0.043	0.055	0.055999999999999994	0.055999999999999994	0.055999999999999994	0.043	0.045	0.049	0.053	0.046	0.053
0.52	0.055	0.042	0.045	0.055999999999999994	0.042	0.047	0.055999999999999994	0.042	0.055	0.05	0.054000000000000006	0.049	0.055	0.051	0.053	0.052000000000000005	0.053	0.05	0.052000000000000005	0.043	0.045	0.053	0.046	0.053	0.054000000000000006	0.043	0.055999999999999994	0.055999999999999994	0.055999999999999994	0.055999999999999994	0.043	0.046	0.05	0.053	0.046	0.053
0.78	0.055	0.042	0.046	0.055999999999999994	0.042	0.048	0.055999999999999994	0.042	0.055	0.051	0.055	0.05	0.055	0.052000000000000005	0.054000000000000006	0.053	0.054000000000000006	0.05	0.052000000000000005	0.043	0.045	0.053	0.046	0.053	0.055	0.043	0.057	0.057	0.057	0.057999999999999996	0.043	0.047	0.051	0.054000000000000006	0.047	0.054000000000000006
1.03	0.055999999999999994	0.042	0.047	0.057	0.042	0.048	0.059000000000000004	0.042	0.055999999999999994	0.052000000000000005	0.055999999999999994	0.051	0.055999999999999994	0.052000000000000005	0.055	0.053	0.055	0.05	0.053	0.043	0.046	0.054000000000000006	0.047	0.054000000000000006	0.055999999999999994	0.043	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.043	0.047	0.052000000000000005	0.055	0.047	0.055999999999999994
1.3	0.057	0.042	0.047	0.057999999999999996	0.043	0.049	0.057999999999999996	0.042	0.057	0.052000000000000005	0.057	0.052000000000000005	0.057	0.053	0.055999999999999994	0.054000000000000006	0.055999999999999994	0.051	0.054000000000000006	0.043	0.047	0.055	0.047	0.057	0.057	0.043	0.06	0.06	0.059000000000000004	0.059000000000000004	0.043	0.048	0.053	0.055999999999999994	0.048	0.057
1.57	0.057999999999999996	0.042	0.048	0.057999999999999996	0.043	0.05	0.057999999999999996	0.042	0.057999999999999996	0.053	0.059000000000000004	0.053	0.057999999999999996	0.053	0.057	0.055	0.057	0.051	0.054000000000000006	0.043	0.047	0.055	0.048	0.055999999999999994	0.059000000000000004	0.043	0.061	0.06	0.06	0.06	0.044000000000000004	0.049	0.054000000000000006	0.057	0.049	0.057999999999999996
1.82	0.059000000000000004	0.042	0.049	0.06	0.043	0.051	0.06	0.043	0.06	0.054000000000000006	0.06	0.054000000000000006	0.06	0.054000000000000006	0.057999999999999996	0.055999999999999994	0.057999999999999996	0.052000000000000005	0.055999999999999994	0.043	0.048	0.055999999999999994	0.049	0.055999999999999994	0.06	0.043	0.062	0.062	0.062	0.062	0.044000000000000004	0.05	0.055	0.057999999999999996	0.05	0.059000000000000004
2.08	0.063	0.043	0.049	0.061	0.043	0.052000000000000005	0.061	0.043	0.062	0.055999999999999994	0.062	0.055	0.062	0.055	0.059000000000000004	0.057	0.059000000000000004	0.053	0.057	0.043	0.049	0.057999999999999996	0.05	0.057	0.062	0.043	0.064	0.064	0.063	0.064	0.043	0.051	0.055999999999999994	0.059000000000000004	0.05	0.061
2.35	0.062	0.043	0.051	0.063	0.043	0.054000000000000006	0.063	0.043	0.064	0.057	0.064	0.057	0.064	0.055999999999999994	0.06	0.059000000000000004	0.06	0.054000000000000006	0.059000000000000004	0.043	0.05	0.06	0.05	0.059000000000000004	0.064	0.043	0.066	0.067	0.065	0.066	0.044000000000000004	0.052000000000000005	0.057	0.06	0.051	0.062
