Time	L0P1-100_2	L0P1-100_3	L0J1-100_1	L0J1-100_2	L0J1-100_3	L1B1-100_1	L1B1-100_2	L0P2-100_1	L0P2-100_2	L0P2-100_3	L0J2-100_1	L0J2-100_2	L0J2-100_3	L1B2-100_1	L1B2-100_2	L0P3-100_1	L0P3-100_2	L0P3-100_3	L0J3-100_1	L0J3-100_2	L0J3-100_3	L1B3-100_1	L1B3-100_2	L0P4-100_1	L0P4-100_2	L0P4-100_3	L0J4-100_1	L0J4-100_2	L0J4-100_3	L1B4-100_1	L1B4-100_2	L0P5-100_1	L0P5-100_2	L0P5-100_3	L0J5-100_1	L0J5-100_2	L0J5-100_3	L1B5-100_1	L1B5-100_2	L1B1-100_3	L1B2-100_3	L1B3-100_3	L1B4-100_3	L1B5-100_3
0.0	0.039	0.048	0.039	0.043	0.039	0.039	0.039	0.042	0.047	0.048	0.042	0.044000000000000004	0.040999999999999995	0.04	0.04	0.043	0.040999999999999995	0.04	0.04	0.04	0.038	0.066	0.040999999999999995	0.038	0.04	0.043	0.042	0.040999999999999995	0.040999999999999995	0.040999999999999995	0.040999999999999995	0.039	0.042	0.039	0.042	0.046	0.040999999999999995	0.044000000000000004	0.043	0.049	0.044000000000000004	0.040999999999999995	0.045	0.044000000000000004
0.25	0.045	0.046	0.045	0.05	0.046	0.042	0.040999999999999995	0.042	0.045	0.045	0.046	0.05	0.046	0.040999999999999995	0.040999999999999995	0.045	0.044000000000000004	0.044000000000000004	0.045	0.044000000000000004	0.042	0.043	0.043	0.043	0.044000000000000004	0.045	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.042	0.042	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.046	0.049	0.045	0.045	0.045	0.065	0.043	0.042	0.042	0.045
0.52	0.045	0.047	0.045	0.05	0.047	0.040999999999999995	0.040999999999999995	0.040999999999999995	0.045	0.045	0.046	0.049	0.047	0.040999999999999995	0.040999999999999995	0.046	0.045	0.044000000000000004	0.046	0.045	0.046	0.046	0.043	0.044000000000000004	0.045	0.045	0.045	0.045	0.045	0.043	0.042	0.045	0.046	0.045	0.047	0.05	0.046	0.045	0.045	0.042	0.043	0.042	0.043	0.045
0.78	0.046	0.047	0.046	0.051	0.048	0.040999999999999995	0.042	0.040999999999999995	0.045	0.045	0.047	0.05	0.048	0.042	0.040999999999999995	0.047	0.045	0.045	0.047	0.046	0.044000000000000004	0.043	0.043	0.045	0.046	0.046	0.046	0.046	0.045	0.042	0.042	0.045	0.047	0.049	0.048	0.052000000000000005	0.047	0.045	0.045	0.042	0.044000000000000004	0.043	0.042	0.045
1.03	0.047	0.049	0.047	0.052000000000000005	0.049	0.042	0.040999999999999995	0.040999999999999995	0.045	0.045	0.048	0.051	0.051	0.040999999999999995	0.040999999999999995	0.048	0.046	0.046	0.048	0.048	0.044000000000000004	0.043	0.043	0.045	0.047	0.047	0.047	0.047	0.047	0.042	0.043	0.047	0.048	0.047	0.049	0.053	0.049	0.045	0.045	0.042	0.043	0.042	0.042	0.045
1.3	0.049	0.05	0.049	0.054000000000000006	0.05	0.042	0.042	0.040999999999999995	0.046	0.046	0.049	0.053	0.051	0.040999999999999995	0.040999999999999995	0.049	0.048	0.047	0.049	0.049	0.046	0.043	0.043	0.047	0.048	0.049	0.049	0.048	0.048	0.043	0.042	0.048	0.05	0.048	0.05	0.054000000000000006	0.05	0.045	0.045	0.042	0.044000000000000004	0.042	0.043	0.045
1.57	0.052000000000000005	0.051	0.05	0.055	0.051	0.042	0.042	0.04	0.046	0.047	0.051	0.055	0.053	0.042	0.040999999999999995	0.05	0.049	0.048	0.05	0.05	0.046	0.043	0.043	0.048	0.05	0.051	0.05	0.049	0.049	0.042	0.043	0.049	0.052000000000000005	0.05	0.051	0.055	0.052000000000000005	0.045	0.045	0.042	0.044000000000000004	0.042	0.042	0.045
1.82	0.054000000000000006	0.054000000000000006	0.051	0.055999999999999994	0.053	0.042	0.042	0.040999999999999995	0.047	0.047	0.052000000000000005	0.057	0.055	0.040999999999999995	0.040999999999999995	0.052000000000000005	0.051	0.054000000000000006	0.051	0.052000000000000005	0.048	0.043	0.043	0.05	0.052000000000000005	0.054000000000000006	0.051	0.05	0.05	0.042	0.043	0.052000000000000005	0.054000000000000006	0.052000000000000005	0.053	0.057	0.054000000000000006	0.045	0.045	0.067	0.043	0.042	0.042	0.045
2.08	0.057999999999999996	0.057	0.053	0.057999999999999996	0.055	0.042	0.042	0.042	0.049	0.049	0.054000000000000006	0.059000000000000004	0.057	0.040999999999999995	0.040999999999999995	0.054000000000000006	0.053	0.053	0.053	0.053	0.049	0.044000000000000004	0.043	0.053	0.055	0.057	0.052000000000000005	0.052000000000000005	0.051	0.042	0.044000000000000004	0.054000000000000006	0.057	0.055	0.057	0.059000000000000004	0.055999999999999994	0.045	0.045	0.042	0.043	0.042	0.042	0.045
2.35	0.062	0.061	0.055	0.06	0.057	0.042	0.042	0.044000000000000004	0.052000000000000005	0.052000000000000005	0.055999999999999994	0.06	0.059000000000000004	0.066	0.04	0.057	0.057	0.055999999999999994	0.054000000000000006	0.055999999999999994	0.05	0.044000000000000004	0.045	0.061	0.059000000000000004	0.062	0.054000000000000006	0.053	0.053	0.043	0.042	0.057999999999999996	0.061	0.059000000000000004	0.057	0.061	0.057999999999999996	0.045	0.045	0.042	0.044000000000000004	0.043	0.047	0.045
2.62	0.068	0.066	0.057	0.063	0.06	0.042	0.042	0.047	0.057	0.057	0.057999999999999996	0.063	0.062	0.040999999999999995	0.04	0.061	0.061	0.061	0.057	0.057999999999999996	0.052000000000000005	0.044000000000000004	0.044000000000000004	0.064	0.064	0.069	0.055999999999999994	0.055	0.055	0.042	0.043	0.063	0.066	0.065	0.059000000000000004	0.064	0.06	0.045	0.045	0.045	0.044000000000000004	0.042	0.043	0.045
2.87	0.076	0.07200000000000001	0.06	0.066	0.063	0.042	0.042	0.051	0.063	0.062	0.06	0.066	0.065	0.040999999999999995	0.042	0.067	0.067	0.066	0.059000000000000004	0.061	0.06	0.071	0.044000000000000004	0.066	0.071	0.076	0.057999999999999996	0.057	0.057	0.043	0.043	0.069	0.07200000000000001	0.071	0.062	0.067	0.063	0.045	0.045	0.043	0.045	0.043	0.043	0.045
3.13	0.085	0.08	0.063	0.069	0.066	0.042	0.043	0.057	0.071	0.07	0.064	0.069	0.068	0.040999999999999995	0.043	0.073	0.073	0.07200000000000001	0.062	0.064	0.057	0.059000000000000004	0.044000000000000004	0.07400000000000001	0.078	0.086	0.061	0.061	0.059000000000000004	0.044000000000000004	0.044000000000000004	0.076	0.081	0.079	0.065	0.069	0.067	0.045	0.046	0.043	0.044000000000000004	0.043	0.044000000000000004	0.045
3.4	0.095	0.08900000000000001	0.066	0.07200000000000001	0.07	0.043	0.042	0.064	0.08199999999999999	0.08	0.066	0.07200000000000001	0.073	0.042	0.040999999999999995	0.08	0.081	0.079	0.066	0.068	0.06	0.046	0.044000000000000004	0.083	0.08800000000000001	0.09699999999999999	0.065	0.063	0.062	0.043	0.043	0.085	0.08900000000000001	0.08800000000000001	0.069	0.073	0.07	0.046	0.046	0.043	0.044000000000000004	0.043	0.043	0.046
3.65	0.109	0.10099999999999999	0.071	0.077	0.07400000000000001	0.043	0.043	0.075	0.095	0.094	0.07	0.078	0.077	0.078	0.040999999999999995	0.08900000000000001	0.091	0.08900000000000001	0.07	0.07200000000000001	0.063	0.047	0.046	0.092	0.1	0.111	0.067	0.066	0.065	0.044000000000000004	0.043	0.096	0.102	0.10099999999999999	0.073	0.08199999999999999	0.077	0.046	0.046	0.044000000000000004	0.043	0.043	0.044000000000000004	0.046
3.92	0.124	0.114	0.076	0.083	0.08	0.043	0.043	0.08900000000000001	0.113	0.113	0.075	0.08199999999999999	0.083	0.040999999999999995	0.040999999999999995	0.10099999999999999	0.10300000000000001	0.1	0.07400000000000001	0.077	0.067	0.047	0.045	0.105	0.115	0.129	0.071	0.07	0.069	0.044000000000000004	0.044000000000000004	0.109	0.11599999999999999	0.113	0.077	0.083	0.08	0.046	0.046	0.043	0.045	0.043	0.045	0.046
4.18	0.14300000000000002	0.13	0.081	0.08900000000000001	0.086	0.043	0.043	0.09699999999999999	0.133	0.133	0.08	0.08900000000000001	0.08900000000000001	0.042	0.040999999999999995	0.113	0.11699999999999999	0.115	0.08	0.084	0.071	0.048	0.045	0.121	0.132	0.149	0.077	0.075	0.07400000000000001	0.045	0.044000000000000004	0.124	0.132	0.13	0.083	0.08800000000000001	0.085	0.047	0.047	0.066	0.045	0.044000000000000004	0.047	0.047
4.45	0.163	0.147	0.08800000000000001	0.094	0.091	0.043	0.044000000000000004	0.111	0.157	0.156	0.086	0.096	0.09699999999999999	0.042	0.040999999999999995	0.129	0.135	0.131	0.086	0.091	0.076	0.049	0.047	0.138	0.151	0.174	0.08199999999999999	0.08	0.078	0.045	0.046	0.141	0.152	0.15	0.08900000000000001	0.095	0.091	0.047	0.047	0.045	0.044000000000000004	0.044000000000000004	0.047	0.047
4.7	0.18899999999999997	0.16699999999999998	0.094	0.102	0.1	0.044000000000000004	0.044000000000000004	0.129	0.183	0.182	0.09300000000000001	0.102	0.10400000000000001	0.042	0.043	0.151	0.157	0.15	0.092	0.09699999999999999	0.08199999999999999	0.05	0.047	0.161	0.179	0.203	0.08800000000000001	0.086	0.084	0.047	0.046	0.165	0.177	0.17300000000000001	0.096	0.102	0.099	0.048	0.05	0.057999999999999996	0.046	0.045	0.049	0.048
4.97	0.225	0.198	0.10300000000000001	0.111	0.109	0.043	0.044000000000000004	0.152	0.218	0.21600000000000003	0.10099999999999999	0.113	0.115	0.043	0.040999999999999995	0.17600000000000002	0.18600000000000003	0.179	0.10099999999999999	0.10800000000000001	0.08900000000000001	0.051	0.048	0.188	0.212	0.244	0.094	0.092	0.09	0.049	0.048	0.193	0.21100000000000002	0.207	0.10300000000000001	0.11	0.10800000000000001	0.048	0.048	0.045	0.046	0.045	0.049	0.049
5.23	0.26	0.228	0.113	0.12300000000000001	0.121	0.045	0.045	0.175	0.257	0.257	0.11	0.12300000000000001	0.125	0.128	0.042	0.21600000000000003	0.21899999999999997	0.21	0.111	0.11900000000000001	0.09699999999999999	0.054000000000000006	0.048	0.223	0.249	0.287	0.102	0.10099999999999999	0.098	0.048	0.049	0.226	0.245	0.24100000000000002	0.113	0.11800000000000001	0.11800000000000001	0.049	0.048	0.052000000000000005	0.046	0.047	0.052000000000000005	0.05
5.48	0.3	0.263	0.126	0.13699999999999998	0.135	0.045	0.045	0.20600000000000002	0.3	0.3	0.121	0.139	0.142	0.049	0.042	0.239	0.254	0.245	0.12300000000000001	0.134	0.107	0.055999999999999994	0.05	0.262	0.29	0.335	0.113	0.109	0.107	0.051	0.05	0.262	0.284	0.27899999999999997	0.125	0.131	0.131	0.05	0.05	0.052000000000000005	0.045	0.047	0.052000000000000005	0.051
5.75	0.348	0.303	0.141	0.152	0.151	0.046	0.048	0.23600000000000002	0.34700000000000003	0.34700000000000003	0.134	0.153	0.159	0.043	0.043	0.27899999999999997	0.29600000000000004	0.285	0.139	0.152	0.11900000000000001	0.073	0.051	0.302	0.337	0.389	0.124	0.122	0.11699999999999999	0.053	0.052000000000000005	0.304	0.33299999999999996	0.327	0.139	0.146	0.146	0.052000000000000005	0.05	0.083	0.046	0.048	0.055	0.051
6.02	0.405	0.35200000000000004	0.16	0.174	0.177	0.047	0.047	0.284	0.40299999999999997	0.40299999999999997	0.151	0.174	0.18100000000000002	0.062	0.042	0.32799999999999996	0.348	0.335	0.159	0.17300000000000001	0.134	0.07	0.057999999999999996	0.354	0.397	0.456	0.13699999999999998	0.136	0.131	0.059000000000000004	0.055	0.355	0.39	0.382	0.156	0.165	0.16399999999999998	0.052000000000000005	0.052000000000000005	0.049	0.048	0.05	0.059000000000000004	0.054000000000000006
6.28	0.465	0.406	0.19899999999999998	0.20199999999999999	0.19699999999999998	0.047	0.049	0.316	0.46799999999999997	0.46799999999999997	0.17	0.201	0.205	0.054000000000000006	0.044000000000000004	0.382	0.406	0.392	0.18	0.19899999999999998	0.152	0.069	0.059000000000000004	0.414	0.462	0.528	0.154	0.153	0.146	0.062	0.059000000000000004	0.415	0.452	0.444	0.177	0.187	0.187	0.055	0.053	0.069	0.047	0.051	0.063	0.055
6.53	0.525	0.45899999999999996	0.207	0.22399999999999998	0.225	0.048	0.051	0.368	0.534	0.535	0.195	0.22399999999999998	0.23399999999999999	0.05	0.043	0.44	0.46799999999999997	0.44799999999999995	0.207	0.22899999999999998	0.17300000000000001	0.078	0.057999999999999996	0.478	0.524	0.5870000000000001	0.174	0.174	0.166	0.065	0.064	0.47100000000000003	0.515	0.503	0.203	0.213	0.213	0.055999999999999994	0.055	0.052000000000000005	0.049	0.053	0.069	0.057999999999999996
6.8	0.5760000000000001	0.516	0.23800000000000002	0.256	0.257	0.049	0.051	0.42200000000000004	0.591	0.591	0.22	0.256	0.27	0.07200000000000001	0.05	0.499	0.529	0.512	0.237	0.264	0.2	0.081	0.061	0.54	0.579	0.638	0.198	0.19699999999999998	0.18899999999999997	0.07200000000000001	0.068	0.531	0.5720000000000001	0.56	0.23199999999999998	0.244	0.247	0.059000000000000004	0.055999999999999994	0.055	0.05	0.055	0.076	0.06
7.07	0.637	0.5710000000000001	0.271	0.294	0.295	0.05	0.051	0.486	0.642	0.642	0.252	0.295	0.31	0.085	0.044000000000000004	0.555	0.586	0.5710000000000001	0.27399999999999997	0.303	0.228	0.09	0.064	0.589	0.639	0.68	0.22699999999999998	0.228	0.21600000000000003	0.08	0.073	0.581	0.628	0.618	0.268	0.27899999999999997	0.28300000000000003	0.061	0.059000000000000004	0.057999999999999996	0.051	0.057	0.086	0.062
7.32	0.674	0.629	0.312	0.33799999999999997	0.33799999999999997	0.052000000000000005	0.053	0.547	0.7	0.6990000000000001	0.29	0.33899999999999997	0.35700000000000004	0.05	0.045	0.612	0.648	0.632	0.315	0.349	0.261	0.1	0.067	0.652	0.68	0.6859999999999999	0.261	0.263	0.251	0.087	0.08199999999999999	0.64	0.672	0.657	0.307	0.32299999999999995	0.326	0.063	0.061	0.059000000000000004	0.052000000000000005	0.06	0.096	0.066
7.58	0.679	0.643	0.358	0.38299999999999995	0.387	0.055	0.055999999999999994	0.596	0.705	0.7040000000000001	0.33399999999999996	0.386	0.40700000000000003	0.052000000000000005	0.045	0.645	0.6659999999999999	0.66	0.36200000000000004	0.39799999999999996	0.302	0.11	0.073	0.6709999999999999	0.677	0.6859999999999999	0.301	0.303	0.28800000000000003	0.098	0.08800000000000001	0.6509999999999999	0.6709999999999999	0.659	0.355	0.368	0.37200000000000005	0.065	0.064	0.065	0.055	0.063	0.109	0.071
7.85	0.685	0.653	0.41100000000000003	0.43700000000000006	0.441	0.069	0.057999999999999996	0.648	0.7040000000000001	0.703	0.384	0.43799999999999994	0.46	0.054000000000000006	0.046	0.649	0.665	0.66	0.41100000000000003	0.45299999999999996	0.345	0.12	0.078	0.6679999999999999	0.6779999999999999	0.69	0.34700000000000003	0.35	0.33299999999999996	0.109	0.099	0.652	0.6729999999999999	0.6629999999999999	0.401	0.419	0.424	0.07	0.068	0.063	0.055999999999999994	0.068	0.121	0.075
