Time	Temp_C	L0P1-100_1	L1J1-100_1	L1J1-100_2	L1J1-100_3	L1F1-100_1	L1F1-100_2	L1F1-100_3	L0P1-100_2	L1J2-100_1	L1J2-100_2	L1J2-100_3	L1F2-100_1	L1F2-100_2	L1F2-100_3	L0P1-100_3	L1J3-100_1	L1J3-100_2	L1J3-100_3	L1F3-100_1	L1F3-100_2	L1F3-100_3	L1J5-100_1	L1J5-100_2	L1J5-100_3	L1F4-100_1	L1F4-100_2	L1F4-100_3	L1D4-100_1	L1D4-100_2	L1D4-100_3	L1F5-100_1	L1F5-100_2	L1F5-100_3	L1D5-100_1	L1D5-100_2	L1D5-100_3
0:00:00	25.0	0.039	0.04	0.038	0.039	0.040999999999999995	0.042	0.044000000000000004	0.05	0.040999999999999995	0.039	0.039	0.046	0.040999999999999995	0.043	0.044000000000000004	0.039	0.04	0.044000000000000004	0.039	0.059000000000000004	0.039	0.054000000000000006	0.04	0.038	0.04	0.04	0.038	0.040999999999999995	0.042	0.040999999999999995	0.04	0.04	0.039	0.05	0.044000000000000004	0.043
0:15:43	25.1	0.044000000000000004	0.045	0.044000000000000004	0.045	0.045	0.045	0.046	0.057999999999999996	0.045	0.045	0.044000000000000004	0.053	0.040999999999999995	0.046	0.047	0.044000000000000004	0.045	0.05	0.042	0.040999999999999995	0.042	0.045	0.045	0.045	0.042	0.043	0.043	0.044000000000000004	0.044000000000000004	0.045	0.043	0.043	0.043	0.053	0.045	0.045
0:31:25	25.1	0.045	0.046	0.045	0.045	0.045	0.046	0.047	0.054000000000000006	0.045	0.045	0.044000000000000004	0.055	0.04	0.047	0.046	0.044000000000000004	0.046	0.067	0.042	0.043	0.042	0.046	0.045	0.045	0.043	0.043	0.043	0.044000000000000004	0.044000000000000004	0.049	0.043	0.043	0.043	0.053	0.046	0.046
0:47:08	25.1	0.045	0.047	0.046	0.047	0.045	0.046	0.047	0.055	0.047	0.045	0.045	0.055	0.040999999999999995	0.047	0.047	0.046	0.047	0.052000000000000005	0.048	0.043	0.042	0.048	0.046	0.046	0.043	0.043	0.043	0.045	0.045	0.045	0.044000000000000004	0.044000000000000004	0.043	0.055	0.047	0.046
1:02:50	25.1	0.046	0.048	0.048	0.05	0.045	0.048	0.049	0.055999999999999994	0.049	0.047	0.046	0.057	0.040999999999999995	0.048	0.048	0.047	0.049	0.053	0.044000000000000004	0.042	0.043	0.049	0.048	0.048	0.043	0.044000000000000004	0.043	0.045	0.045	0.046	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.054000000000000006	0.047	0.047
1:18:33	25.1	0.047	0.049	0.049	0.049	0.051	0.047	0.048	0.057999999999999996	0.048	0.048	0.047	0.057	0.040999999999999995	0.055999999999999994	0.049	0.048	0.05	0.06	0.043	0.042	0.062	0.05	0.049	0.049	0.043	0.044000000000000004	0.044000000000000004	0.046	0.046	0.046	0.045	0.045	0.044000000000000004	0.055	0.048	0.047
1:34:15	25.1	0.049	0.05	0.051	0.051	0.046	0.057999999999999996	0.048	0.06	0.049	0.049	0.048	0.068	0.040999999999999995	0.049	0.051	0.049	0.051	0.055999999999999994	0.061	0.043	0.053	0.052000000000000005	0.05	0.05	0.044000000000000004	0.045	0.044000000000000004	0.046	0.046	0.047	0.045	0.045	0.045	0.055	0.048	0.048
1:49:58	25.1	0.051	0.051	0.052000000000000005	0.061	0.047	0.047	0.049	0.062	0.051	0.049	0.048	0.06	0.040999999999999995	0.05	0.054000000000000006	0.051	0.053	0.057999999999999996	0.048	0.043	0.043	0.054000000000000006	0.052000000000000005	0.051	0.044000000000000004	0.045	0.045	0.047	0.047	0.047	0.045	0.045	0.045	0.055999999999999994	0.049	0.049
2:05:40	25.1	0.053	0.053	0.054000000000000006	0.054000000000000006	0.047	0.048	0.049	0.065	0.051	0.051	0.05	0.061	0.04	0.051	0.057	0.052000000000000005	0.055	0.059000000000000004	0.048	0.044000000000000004	0.044000000000000004	0.055999999999999994	0.053	0.053	0.045	0.046	0.046	0.047	0.047	0.048	0.046	0.046	0.046	0.057	0.05	0.049
2:21:23	25.1	0.057	0.054000000000000006	0.055999999999999994	0.055999999999999994	0.048	0.049	0.05	0.069	0.053	0.052000000000000005	0.051	0.062	0.04	0.051	0.061	0.054000000000000006	0.057	0.062	0.055	0.044000000000000004	0.044000000000000004	0.057999999999999996	0.055	0.055	0.045	0.046	0.046	0.048	0.048	0.05	0.047	0.047	0.046	0.057	0.05	0.05
