Time	L1D1-100_1	L1D3-100_1	L1P1-100_1	L1P2-100_1	L1P3-100_1	L1P4-100_1	L1P5-100_1	L1D1-100_2	L1D3-100_2	L1P1-100_2	L1P2-100_2	L1P3-100_2	L1P4-100_2	L1P5-100_2	L1D1-100_3	L1D3-100_3	L1P1-100_3	L1P2-100_3	L1P3-100_3	L1P4-100_3	L1P5-100_3	L1D2-100_1	L2B1-100_1	L2B2-100_1	L2B3-100_1	L2B4-100_1	L2B5-100_1	L1D2-100_2	L2B1-100_2	L2B2-100_2	L2B3-100_2	L2B4-100_2	L2B5-100_2	L1D2-100_3	L2B1-100_3	L2B2-100_3	L2B3-100_3	L2B4-100_3	L2B5-100_3
0.0	0.043	0.04	0.046	0.048	0.045	0.048	0.045	0.042	0.040999999999999995	0.044000000000000004	0.043	0.045	0.047	0.047	0.04	0.043	0.045	0.044000000000000004	0.045	0.043	0.048	0.04	0.043	0.052000000000000005	0.042	0.043	0.046	0.039	0.043	0.040999999999999995	0.042	0.040999999999999995	0.040999999999999995	0.042	0.045	0.052000000000000005	0.049	0.054000000000000006	0.05
0.25	0.042	0.040999999999999995	0.047	0.048	0.047	0.049	0.049	0.043	0.043	0.046	0.047	0.047	0.047	0.049	0.043	0.043	0.047	0.048	0.046	0.047	0.049	0.042	0.051	0.044000000000000004	0.047	0.049	0.052000000000000005	0.042	0.054000000000000006	0.047	0.047	0.049	0.052000000000000005	0.043	0.048	0.047	0.046	0.049	0.05
0.52	0.042	0.040999999999999995	0.048	0.049	0.048	0.05	0.051	0.043	0.043	0.047	0.048	0.048	0.049	0.051	0.042	0.043	0.048	0.049	0.047	0.048	0.05	0.042	0.052000000000000005	0.047	0.048	0.049	0.052000000000000005	0.042	0.053	0.047	0.048	0.051	0.053	0.043	0.051	0.047	0.047	0.05	0.052000000000000005
0.78	0.042	0.040999999999999995	0.049	0.049	0.048	0.051	0.051	0.043	0.043	0.047	0.048	0.049	0.05	0.052000000000000005	0.043	0.043	0.049	0.05	0.048	0.049	0.052000000000000005	0.042	0.05	0.046	0.049	0.05	0.053	0.042	0.052000000000000005	0.048	0.11900000000000001	0.051	0.053	0.043	0.066	0.048	0.047	0.05	0.052000000000000005
1.03	0.042	0.040999999999999995	0.05	0.05	0.05	0.052000000000000005	0.053	0.043	0.043	0.048	0.049	0.051	0.05	0.054000000000000006	0.043	0.043	0.05	0.05	0.048	0.051	0.053	0.042	0.055	0.048	0.05	0.051	0.054000000000000006	0.042	0.052000000000000005	0.049	0.05	0.051	0.055	0.043	0.055	0.049	0.048	0.052000000000000005	0.054000000000000006
1.3	0.042	0.042	0.052000000000000005	0.051	0.051	0.053	0.055	0.043	0.043	0.049	0.05	0.052000000000000005	0.052000000000000005	0.055999999999999994	0.043	0.044000000000000004	0.051	0.051	0.05	0.052000000000000005	0.055	0.042	0.052000000000000005	0.048	0.051	0.052000000000000005	0.055999999999999994	0.042	0.055999999999999994	0.05	0.05	0.055	0.055	0.043	0.052000000000000005	0.05	0.049	0.053	0.055
1.57	0.042	0.042	0.053	0.053	0.052000000000000005	0.055	0.057	0.043	0.043	0.051	0.051	0.053	0.054000000000000006	0.057999999999999996	0.043	0.044000000000000004	0.053	0.053	0.051	0.053	0.057	0.042	0.054000000000000006	0.049	0.052000000000000005	0.053	0.057999999999999996	0.043	0.057	0.052000000000000005	0.054000000000000006	0.055999999999999994	0.057999999999999996	0.043	0.054000000000000006	0.051	0.05	0.055	0.057999999999999996
1.82	0.043	0.042	0.055	0.055	0.053	0.057	0.059000000000000004	0.043	0.043	0.052000000000000005	0.053	0.055	0.055999999999999994	0.061	0.043	0.044000000000000004	0.055	0.054000000000000006	0.053	0.055999999999999994	0.059000000000000004	0.042	0.055999999999999994	0.051	0.053	0.055999999999999994	0.061	0.043	0.057999999999999996	0.052000000000000005	0.054000000000000006	0.057	0.06	0.043	0.068	0.052000000000000005	0.051	0.055999999999999994	0.057999999999999996
2.08	0.043	0.042	0.057	0.057	0.055999999999999994	0.059000000000000004	0.062	0.043	0.043	0.053	0.055	0.057	0.057999999999999996	0.064	0.043	0.044000000000000004	0.057	0.055999999999999994	0.055	0.057999999999999996	0.062	0.042	0.061	0.052000000000000005	0.055	0.057999999999999996	0.063	0.043	0.06	0.054000000000000006	0.059000000000000004	0.059000000000000004	0.063	0.043	0.059000000000000004	0.053	0.053	0.059000000000000004	0.059000000000000004
2.35	0.043	0.042	0.059000000000000004	0.059000000000000004	0.057999999999999996	0.062	0.065	0.044000000000000004	0.043	0.055999999999999994	0.057	0.06	0.061	0.069	0.043	0.044000000000000004	0.059000000000000004	0.057999999999999996	0.057	0.061	0.065	0.042	0.064	0.054000000000000006	0.057999999999999996	0.06	0.066	0.043	0.066	0.055999999999999994	0.102	0.063	0.066	0.043	0.064	0.055	0.055	0.063	0.064
2.62	0.043	0.042	0.063	0.062	0.061	0.065	0.07	0.044000000000000004	0.043	0.057999999999999996	0.059000000000000004	0.064	0.064	0.07400000000000001	0.044000000000000004	0.045	0.062	0.061	0.061	0.064	0.07	0.042	0.069	0.055999999999999994	0.061	0.064	0.07	0.043	0.071	0.057999999999999996	0.287	0.067	0.07	0.044000000000000004	0.07	0.055999999999999994	0.055999999999999994	0.066	0.065
2.87	0.043	0.042	0.066	0.065	0.065	0.07	0.075	0.044000000000000004	0.044000000000000004	0.061	0.063	0.068	0.069	0.081	0.044000000000000004	0.045	0.067	0.064	0.064	0.069	0.075	0.043	0.076	0.057999999999999996	0.064	0.068	0.075	0.044000000000000004	0.073	0.061	0.068	0.07200000000000001	0.075	0.044000000000000004	0.07200000000000001	0.059000000000000004	0.059000000000000004	0.071	0.07
3.13	0.043	0.042	0.07	0.069	0.07	0.07400000000000001	0.08199999999999999	0.044000000000000004	0.044000000000000004	0.065	0.067	0.07400000000000001	0.07400000000000001	0.08800000000000001	0.044000000000000004	0.045	0.071	0.068	0.069	0.07400000000000001	0.081	0.043	0.081	0.062	0.068	0.07200000000000001	0.081	0.044000000000000004	0.079	0.065	0.073	0.078	0.081	0.044000000000000004	0.084	0.062	0.062	0.077	0.076
3.4	0.044000000000000004	0.043	0.075	0.07400000000000001	0.077	0.08	0.08900000000000001	0.045	0.044000000000000004	0.069	0.071	0.08	0.08	0.098	0.044000000000000004	0.045	0.077	0.073	0.07400000000000001	0.081	0.08900000000000001	0.043	0.08800000000000001	0.066	0.07200000000000001	0.077	0.09	0.044000000000000004	0.08800000000000001	0.068	0.121	0.085	0.08900000000000001	0.044000000000000004	0.08900000000000001	0.066	0.066	0.084	0.081
3.65	0.044000000000000004	0.043	0.081	0.08	0.083	0.087	0.099	0.045	0.044000000000000004	0.07400000000000001	0.077	0.08900000000000001	0.08800000000000001	0.109	0.044000000000000004	0.046	0.083	0.078	0.08199999999999999	0.09	0.098	0.043	0.09699999999999999	0.07	0.078	0.085	0.09699999999999999	0.044000000000000004	0.09699999999999999	0.07400000000000001	0.087	0.094	0.09699999999999999	0.045	0.09699999999999999	0.069	0.071	0.095	0.09
3.92	0.044000000000000004	0.043	0.08900000000000001	0.08800000000000001	0.092	0.09699999999999999	0.11	0.045	0.044000000000000004	0.08	0.084	0.099	0.099	0.122	0.045	0.046	0.092	0.086	0.091	0.102	0.11	0.043	0.10800000000000001	0.07400000000000001	0.084	0.09300000000000001	0.10800000000000001	0.044000000000000004	0.10800000000000001	0.078	0.174	0.10400000000000001	0.107	0.045	0.107	0.07400000000000001	0.076	0.10400000000000001	0.1
4.18	0.044000000000000004	0.043	0.098	0.09699999999999999	0.10400000000000001	0.109	0.124	0.045	0.045	0.08800000000000001	0.092	0.11	0.113	0.135	0.045	0.047	0.10099999999999999	0.095	0.102	0.115	0.12300000000000001	0.043	0.121	0.08	0.09300000000000001	0.105	0.11900000000000001	0.045	0.12	0.08199999999999999	0.106	0.115	0.11699999999999999	0.045	0.11900000000000001	0.079	0.08199999999999999	0.115	0.109
4.45	0.044000000000000004	0.043	0.10800000000000001	0.10800000000000001	0.11699999999999999	0.12300000000000001	0.139	0.046	0.045	0.09699999999999999	0.102	0.124	0.128	0.153	0.045	0.047	0.11199999999999999	0.105	0.115	0.131	0.139	0.044000000000000004	0.135	0.086	0.10300000000000001	0.115	0.131	0.045	0.133	0.08800000000000001	0.138	0.13	0.13	0.045	0.134	0.084	0.09	0.13	0.121
4.7	0.045	0.044000000000000004	0.122	0.121	0.134	0.14	0.159	0.046	0.045	0.10800000000000001	0.115	0.14300000000000002	0.147	0.177	0.046	0.047	0.128	0.11800000000000001	0.133	0.15	0.16	0.044000000000000004	0.15	0.094	0.114	0.127	0.145	0.045	0.14800000000000002	0.09699999999999999	0.128	0.141	0.14300000000000002	0.046	0.14800000000000002	0.092	0.099	0.142	0.135
4.97	0.045	0.044000000000000004	0.139	0.138	0.157	0.162	0.187	0.047	0.046	0.122	0.131	0.16899999999999998	0.172	0.21	0.046	0.048	0.14800000000000002	0.136	0.157	0.175	0.19	0.044000000000000004	0.163	0.10300000000000001	0.126	0.14	0.158	0.046	0.161	0.106	0.267	0.152	0.157	0.046	0.161	0.10099999999999999	0.109	0.155	0.145
