Time	L0B5-200_1	L1B5-200_1	L2B5-100_1	L2B4-100_1	L0B4-200_1	L1B4-200_1	L2B3-100_1	L0B2-200_1	L1B2-200_1	L2B1-100_1	L1B1-200_1	L2B2-100_1	L1B3-200_1	L0B3-200_1	L0B1-200_1	L0B5-200_2	L1B5-200_2	L2B5-100_2	L2B4-100_2	L0B4-200_2	L1B4-200_2	L2B3-100_2	L0B2-200_2	L1B2-200_2	L2B1-100_2	L1B1-200_2	L2B2-100_2	L1B3-200_2	L0B3-200_2	L0B1-200_2	L0B5-200_3	L1B5-200_3	L2B5-100_3	L2B4-100_3	L0B4-200_3	L1B4-200_3	L2B3-100_3	L0B2-200_3	L1B2-200_3	L2B1-100_3	L1B1-200_3	L2B2-100_3	L1B3-200_3	L0B3-200_3	L0B1-200_3
0.0	0.051	0.053	0.051	0.047	0.051	0.051	0.045	0.055	0.051	0.042	0.044000000000000004	0.042	0.042	0.049	0.051	0.061	0.044000000000000004	0.045	0.043	0.047	0.049	0.046	0.057999999999999996	0.05	0.044000000000000004	0.052000000000000005	0.043	0.046	0.053	0.055	0.055999999999999994	0.051	0.046	0.045	0.055	0.053	0.047	0.055999999999999994	0.05	0.045	0.054000000000000006	0.059000000000000004	0.05	0.053	0.057999999999999996
0.25	0.055999999999999994	0.061	0.057	0.047	0.061	0.052000000000000005	0.047	0.057	0.051	0.046	0.053	0.045	0.051	0.057	0.057999999999999996	0.057999999999999996	0.054000000000000006	0.05	0.046	0.061	0.053	0.047	0.059000000000000004	0.052000000000000005	0.046	0.051	0.047	0.051	0.059000000000000004	0.057999999999999996	0.06	0.057	0.05	0.047	0.059000000000000004	0.051	0.046	0.055999999999999994	0.051	0.045	0.052000000000000005	0.047	0.052000000000000005	0.057999999999999996	0.06
0.52	0.057	0.057	0.051	0.061	0.061	0.052000000000000005	0.046	0.057	0.051	0.045	0.052000000000000005	0.045	0.05	0.057	0.057999999999999996	0.059000000000000004	0.054000000000000006	0.05	0.046	0.061	0.053	0.046	0.059000000000000004	0.052000000000000005	0.046	0.055	0.046	0.051	0.059000000000000004	0.057999999999999996	0.059000000000000004	0.055999999999999994	0.049	0.047	0.059000000000000004	0.051	0.046	0.055999999999999994	0.051	0.045	0.052000000000000005	0.047	0.051	0.059000000000000004	0.06
0.78	0.057	0.055	0.054000000000000006	0.047	0.061	0.052000000000000005	0.046	0.057	0.052000000000000005	0.046	0.052000000000000005	0.045	0.05	0.057	0.059000000000000004	0.059000000000000004	0.054000000000000006	0.05	0.046	0.063	0.053	0.047	0.059000000000000004	0.052000000000000005	0.046	0.051	0.047	0.051	0.059000000000000004	0.059000000000000004	0.06	0.065	0.049	0.047	0.06	0.052000000000000005	0.046	0.055999999999999994	0.051	0.045	0.052000000000000005	0.047	0.051	0.059000000000000004	0.061
1.03	0.057999999999999996	0.055	0.055	0.047	0.062	0.053	0.047	0.057999999999999996	0.052000000000000005	0.046	0.052000000000000005	0.046	0.05	0.057999999999999996	0.06	0.061	0.053	0.051	0.047	0.064	0.054000000000000006	0.047	0.059000000000000004	0.053	0.046	0.051	0.047	0.051	0.06	0.06	0.063	0.057	0.05	0.047	0.061	0.052000000000000005	0.047	0.057	0.051	0.045	0.052000000000000005	0.047	0.051	0.06	0.062
1.3	0.06	0.054000000000000006	0.05	0.048	0.063	0.053	0.048	0.057999999999999996	0.052000000000000005	0.046	0.052000000000000005	0.046	0.05	0.059000000000000004	0.061	0.062	0.053	0.051	0.047	0.065	0.054000000000000006	0.047	0.06	0.053	0.047	0.051	0.047	0.051	0.061	0.062	0.063	0.055999999999999994	0.05	0.048	0.062	0.052000000000000005	0.047	0.057999999999999996	0.051	0.046	0.052000000000000005	0.047	0.051	0.061	0.063
1.57	0.061	0.057999999999999996	0.05	0.048	0.065	0.054000000000000006	0.049	0.059000000000000004	0.052000000000000005	0.047	0.052000000000000005	0.046	0.05	0.06	0.063	0.064	0.053	0.052000000000000005	0.048	0.066	0.054000000000000006	0.049	0.061	0.053	0.047	0.051	0.048	0.053	0.062	0.063	0.066	0.055999999999999994	0.05	0.049	0.063	0.052000000000000005	0.048	0.059000000000000004	0.053	0.046	0.052000000000000005	0.048	0.051	0.062	0.064
1.82	0.063	0.053	0.05	0.049	0.066	0.053	0.048	0.061	0.053	0.047	0.052000000000000005	0.047	0.051	0.061	0.064	0.065	0.053	0.052000000000000005	0.049	0.068	0.055	0.049	0.063	0.053	0.048	0.052000000000000005	0.048	0.051	0.063	0.064	0.073	0.055999999999999994	0.051	0.049	0.064	0.053	0.048	0.059000000000000004	0.051	0.046	0.052000000000000005	0.048	0.051	0.063	0.066
2.08	0.065	0.055	0.052000000000000005	0.05	0.068	0.054000000000000006	0.048	0.062	0.052000000000000005	0.048	0.052000000000000005	0.047	0.051	0.062	0.066	0.069	0.053	0.054000000000000006	0.049	0.07	0.055	0.049	0.065	0.053	0.048	0.052000000000000005	0.049	0.051	0.065	0.066	0.071	0.057	0.051	0.05	0.066	0.053	0.049	0.061	0.051	0.047	0.053	0.049	0.051	0.064	0.068
2.35	0.067	0.055999999999999994	0.051	0.05	0.07	0.054000000000000006	0.049	0.064	0.052000000000000005	0.049	0.053	0.048	0.051	0.063	0.068	0.071	0.054000000000000006	0.055999999999999994	0.05	0.07200000000000001	0.055	0.05	0.067	0.053	0.049	0.052000000000000005	0.049	0.052000000000000005	0.066	0.068	0.073	0.057	0.052000000000000005	0.051	0.068	0.053	0.055999999999999994	0.063	0.051	0.048	0.053	0.05	0.052000000000000005	0.065	0.07
