Time	L0S1-200_1	L0S2-200_1	L0S3-200_1	L0S4-200_1	L0S5-200_1	L1S1-200_1	L1S2-200_1	L1S3-200_1	L1S4-200_1	L1S5-200_1	L2B1-200_1	L2B2-200_1	L2B3-200_1	L2B4-200_1	L2B5-200_1	L0S1-200_2	L0S2-200_2	L0S3-200_2	L0S4-200_2	L0S5-200_2	L1S1-200_2	L1S2-200_2	L1S3-200_2	L1S4-200_2	L1S5-200_2	L2B1-200_2	L2B2-200_2	L2B3-200_2	L2B4-200_2	L2B5-200_2	L0S1-200_3	L0S2-200_3	L0S3-200_3	L0S4-200_3	L0S5-200_3	L1S1-200_3	L1S2-200_3	L1S3-200_3	L1S4-200_3	L1S5-200_3	L2B1-200_3	L2B2-200_3	L2B3-200_3	L2B4-200_3	L2B5-200_3
0.0	0.049	0.067	0.054000000000000006	0.057	0.049	0.055999999999999994	0.053	0.059000000000000004	0.051	0.053	0.046	0.051	0.047	0.042	0.044000000000000004	0.055	0.068	0.061	0.11199999999999999	0.053	0.052000000000000005	0.046	0.086	0.046	0.059000000000000004	0.043	0.045	0.044000000000000004	0.05	0.048	0.054000000000000006	0.087	0.053	0.057999999999999996	0.059000000000000004	0.066	0.054000000000000006	0.073	0.046	0.057	0.049	0.046	0.049	0.048	0.049
0.25	0.055	0.054000000000000006	0.053	0.055	0.057	0.053	0.049	0.06	0.046	0.055	0.047	0.048	0.051	0.047	0.048	0.055999999999999994	0.055	0.054000000000000006	0.055	0.059000000000000004	0.054000000000000006	0.05	0.06	0.046	0.057	0.045	0.049	0.049	0.048	0.049	0.055	0.055999999999999994	0.055	0.057	0.059000000000000004	0.06	0.051	0.062	0.051	0.057999999999999996	0.048	0.049	0.048	0.047	0.048
0.52	0.055	0.053	0.053	0.055999999999999994	0.057	0.053	0.049	0.098	0.045	0.055	0.047	0.048	0.048	0.047	0.048	0.055999999999999994	0.057	0.055	0.055	0.059000000000000004	0.054000000000000006	0.05	0.061	0.055	0.057	0.045	0.049	0.049	0.048	0.049	0.055	0.055999999999999994	0.055999999999999994	0.057	0.059000000000000004	0.059000000000000004	0.052000000000000005	0.062	0.047	0.057999999999999996	0.048	0.049	0.048	0.047	0.048
0.78	0.055999999999999994	0.057	0.054000000000000006	0.057	0.057999999999999996	0.054000000000000006	0.049	0.07	0.047	0.055	0.047	0.049	0.049	0.047	0.048	0.057	0.059000000000000004	0.055	0.055999999999999994	0.06	0.054000000000000006	0.051	0.062	0.048	0.057	0.045	0.049	0.049	0.048	0.051	0.055999999999999994	0.057999999999999996	0.055999999999999994	0.057999999999999996	0.06	0.06	0.052000000000000005	0.063	0.047	0.057999999999999996	0.048	0.049	0.048	0.047	0.048
1.03	0.057	0.054000000000000006	0.055	0.057999999999999996	0.059000000000000004	0.054000000000000006	0.049	0.061	0.046	0.055	0.048	0.049	0.049	0.047	0.048	0.057	0.059000000000000004	0.055999999999999994	0.057999999999999996	0.061	0.055	0.051	0.062	0.046	0.057	0.045	0.05	0.049	0.048	0.051	0.057	0.057999999999999996	0.057	0.059000000000000004	0.061	0.06	0.052000000000000005	0.063	0.046	0.057999999999999996	0.048	0.049	0.048	0.047	0.048
1.3	0.057999999999999996	0.059000000000000004	0.055	0.059000000000000004	0.059000000000000004	0.055	0.05	0.061	0.047	0.055	0.049	0.051	0.049	0.047	0.048	0.059000000000000004	0.057999999999999996	0.057	0.059000000000000004	0.062	0.055	0.051	0.064	0.048	0.057	0.046	0.05	0.05	0.049	0.05	0.057999999999999996	0.065	0.059000000000000004	0.061	0.062	0.061	0.052000000000000005	0.063	0.049	0.057999999999999996	0.049	0.05	0.049	0.047	0.048
1.57	0.059000000000000004	0.055	0.057	0.061	0.06	0.055	0.05	0.062	0.046	0.055	0.048	0.051	0.05	0.048	0.048	0.06	0.061	0.057999999999999996	0.061	0.063	0.055999999999999994	0.051	0.064	0.048	0.057	0.046	0.051	0.051	0.049	0.051	0.059000000000000004	0.059000000000000004	0.059000000000000004	0.062	0.063	0.061	0.052000000000000005	0.065	0.048	0.057999999999999996	0.049	0.05	0.049	0.048	0.048
1.82	0.06	0.061	0.057999999999999996	0.063	0.061	0.055999999999999994	0.049	0.063	0.048	0.055	0.049	0.051	0.051	0.048	0.049	0.061	0.06	0.06	0.063	0.065	0.057	0.05	0.064	0.047	0.057	0.047	0.051	0.052000000000000005	0.05	0.051	0.061	0.061	0.061	0.065	0.065	0.062	0.053	0.065	0.047	0.057999999999999996	0.05	0.051	0.051	0.049	0.048
2.08	0.061	0.059000000000000004	0.059000000000000004	0.065	0.062	0.055999999999999994	0.05	0.069	0.055	0.055	0.049	0.051	0.052000000000000005	0.049	0.049	0.063	0.062	0.061	0.066	0.066	0.057	0.051	0.065	0.048	0.057999999999999996	0.047	0.052000000000000005	0.053	0.051	0.051	0.062	0.064	0.063	0.068	0.067	0.063	0.052000000000000005	0.067	0.047	0.057999999999999996	0.051	0.052000000000000005	0.051	0.049	0.049
2.35	0.062	0.065	0.061	0.068	0.065	0.057	0.05	0.065	0.051	0.055999999999999994	0.051	0.052000000000000005	0.053	0.05	0.05	0.064	0.067	0.063	0.069	0.068	0.057999999999999996	0.051	0.066	0.049	0.057999999999999996	0.048	0.053	0.054000000000000006	0.051	0.05	0.064	0.066	0.065	0.071	0.069	0.064	0.052000000000000005	0.067	0.048	0.059000000000000004	0.052000000000000005	0.052000000000000005	0.052000000000000005	0.05	0.049
