Time	L2B1-200_1	L2B2-200_1	L2B3-200_1	L2B4-200_1	L2B5-200_1	L2D1-100_1	L2D2-100_1	L2D3-100_1	L2D4-100_1	L2D5-100_1	L2P1-100_1	L2P2-100_1	L2P3-100_1	L2P4-100_1	L2P5-100_1	L2B1-200_2	L2B2-200_2	L2B3-200_2	L2B4-200_2	L2B5-200_2	L2D1-100_2	L2D2-100_2	L2D3-100_2	L2D4-100_2	L2D5-100_2	L2P1-100_2	L2P2-100_2	L2P3-100_2	L2P4-100_2	L2P5-100_2	L2B1-200_3	L2B2-200_3	L2B3-200_3	L2B4-200_3	L2B5-200_3	L2D1-100_3	L2D2-100_3	L2D3-100_3	L2D4-100_3	L2D5-100_3	L2P1-100_3	L2P2-100_3	L2P3-100_3	L2P4-100_3	L2P5-100_3
0.0	0.046	0.048	0.051	0.051	0.059000000000000004	0.04	0.04	0.04	0.04	0.04	0.042	0.045	0.045	0.044000000000000004	0.043	0.043	0.07400000000000001	0.063	0.055999999999999994	0.05	0.043	0.04	0.039	0.047	0.040999999999999995	0.044000000000000004	0.045	0.042	0.043	0.044000000000000004	0.049	0.064	0.047	0.051	0.049	0.046	0.042	0.039	0.040999999999999995	0.043	0.048	0.045	0.048	0.045	0.044000000000000004
0.25	0.048	0.047	0.049	0.05	0.05	0.047	0.045	0.046	0.048	0.047	0.049	0.049	0.049	0.048	0.047	0.049	0.048	0.05	0.05	0.05	0.047	0.045	0.045	0.048	0.047	0.048	0.05	0.048	0.049	0.048	0.048	0.046	0.05	0.051	0.057	0.046	0.045	0.045	0.048	0.047	0.049	0.051	0.048	0.049	0.048
0.52	0.048	0.047	0.05	0.05	0.053	0.047	0.045	0.046	0.048	0.047	0.049	0.049	0.049	0.049	0.047	0.049	0.048	0.05	0.05	0.053	0.047	0.044000000000000004	0.045	0.048	0.047	0.049	0.054000000000000006	0.048	0.049	0.048	0.048	0.048	0.049	0.05	0.049	0.045	0.045	0.045	0.052000000000000005	0.047	0.05	0.051	0.048	0.049	0.048
0.78	0.049	0.048	0.049	0.05	0.051	0.047	0.045	0.046	0.048	0.047	0.051	0.051	0.049	0.049	0.047	0.05	0.049	0.05	0.05	0.05	0.047	0.045	0.045	0.047	0.047	0.05	0.051	0.049	0.05	0.048	0.049	0.047	0.05	0.051	0.053	0.046	0.045	0.045	0.048	0.047	0.051	0.051	0.049	0.05	0.049
1.03	0.049	0.049	0.049	0.05	0.051	0.047	0.045	0.046	0.048	0.047	0.052000000000000005	0.052000000000000005	0.051	0.051	0.049	0.05	0.05	0.051	0.051	0.05	0.047	0.045	0.045	0.047	0.047	0.051	0.053	0.051	0.052000000000000005	0.049	0.049	0.048	0.05	0.051	0.05	0.046	0.045	0.045	0.048	0.047	0.053	0.052000000000000005	0.05	0.052000000000000005	0.049
1.3	0.05	0.049	0.049	0.051	0.053	0.047	0.044000000000000004	0.046	0.048	0.047	0.055	0.055	0.055	0.055	0.051	0.051	0.05	0.051	0.051	0.05	0.047	0.045	0.045	0.048	0.047	0.054000000000000006	0.055	0.055	0.055999999999999994	0.052000000000000005	0.05	0.051	0.051	0.051	0.05	0.046	0.045	0.046	0.048	0.047	0.055	0.054000000000000006	0.052000000000000005	0.055	0.051
1.57	0.05	0.05	0.05	0.063	0.055	0.048	0.045	0.046	0.048	0.047	0.057	0.057999999999999996	0.059000000000000004	0.059000000000000004	0.055	0.051	0.051	0.051	0.052000000000000005	0.05	0.047	0.045	0.045	0.048	0.047	0.057	0.057999999999999996	0.059000000000000004	0.06	0.055999999999999994	0.05	0.049	0.051	0.052000000000000005	0.05	0.046	0.045	0.046	0.048	0.047	0.057999999999999996	0.057999999999999996	0.055999999999999994	0.059000000000000004	0.055
1.82	0.05	0.051	0.05	0.051	0.051	0.048	0.045	0.046	0.049	0.047	0.061	0.061	0.064	0.064	0.06	0.052000000000000005	0.052000000000000005	0.052000000000000005	0.052000000000000005	0.051	0.048	0.045	0.046	0.048	0.047	0.06	0.062	0.064	0.065	0.061	0.051	0.051	0.051	0.053	0.05	0.046	0.045	0.046	0.049	0.047	0.062	0.062	0.061	0.064	0.06
2.08	0.051	0.052000000000000005	0.051	0.052000000000000005	0.051	0.048	0.045	0.047	0.049	0.047	0.064	0.066	0.069	0.069	0.065	0.052000000000000005	0.054000000000000006	0.052000000000000005	0.053	0.051	0.048	0.045	0.046	0.048	0.047	0.064	0.067	0.069	0.071	0.067	0.051	0.052000000000000005	0.052000000000000005	0.053	0.051	0.047	0.045	0.046	0.049	0.047	0.066	0.069	0.066	0.069	0.066
2.35	0.051	0.053	0.052000000000000005	0.053	0.052000000000000005	0.048	0.045	0.047	0.049	0.047	0.069	0.071	0.075	0.075	0.071	0.053	0.055	0.053	0.054000000000000006	0.052000000000000005	0.048	0.046	0.046	0.048	0.048	0.068	0.07200000000000001	0.075	0.077	0.07200000000000001	0.052000000000000005	0.053	0.052000000000000005	0.055	0.051	0.047	0.046	0.046	0.049	0.048	0.071	0.073	0.07200000000000001	0.075	0.07200000000000001
2.62	0.052000000000000005	0.055999999999999994	0.053	0.054000000000000006	0.21600000000000003	0.049	0.045	0.047	0.049	0.047	0.073	0.077	0.081	0.08199999999999999	0.078	0.054000000000000006	0.057999999999999996	0.054000000000000006	0.055999999999999994	0.053	0.049	0.045	0.046	0.048	0.048	0.073	0.079	0.081	0.084	0.079	0.053	0.055	0.054000000000000006	0.055999999999999994	0.052000000000000005	0.047	0.046	0.047	0.049	0.048	0.076	0.08	0.078	0.081	0.079
3.0	0.055	0.059000000000000004	0.053	0.057	0.063	0.051	0.046	0.047	0.049	0.048	0.08199999999999999	0.08800000000000001	0.094	0.095	0.09	0.059000000000000004	0.064	0.057	0.059000000000000004	0.063	0.049	0.046	0.047	0.049	0.048	0.08	0.091	0.094	0.09699999999999999	0.092	0.055999999999999994	0.059000000000000004	0.055	0.059000000000000004	0.053	0.047	0.046	0.051	0.05	0.049	0.084	0.09300000000000001	0.09	0.09300000000000001	0.09
3.27	0.055	0.06	0.059000000000000004	0.057999999999999996	0.063	0.051	0.046	0.048	0.05	0.048	0.08800000000000001	0.095	0.1	0.10099999999999999	0.096	0.057999999999999996	0.065	0.057	0.06	0.055999999999999994	0.049	0.046	0.047	0.049	0.049	0.08800000000000001	0.099	0.10099999999999999	0.10400000000000001	0.098	0.055999999999999994	0.061	0.055999999999999994	0.06	0.062	0.047	0.046	0.051	0.05	0.049	0.091	0.1	0.096	0.10099999999999999	0.098
3.52	0.057	0.064	0.057999999999999996	0.061	0.073	0.051	0.046	0.048	0.05	0.049	0.096	0.10400000000000001	0.11	0.111	0.105	0.06	0.068	0.057999999999999996	0.063	0.057	0.049	0.046	0.048	0.049	0.049	0.095	0.106	0.11	0.114	0.10800000000000001	0.059000000000000004	0.064	0.057999999999999996	0.063	0.055999999999999994	0.047	0.046	0.051	0.05	0.049	0.099	0.109	0.105	0.11	0.10800000000000001
3.78	0.057999999999999996	0.067	0.057	0.063	0.066	0.051	0.046	0.048	0.05	0.049	0.105	0.113	0.121	0.122	0.115	0.062	0.07200000000000001	0.06	0.065	0.059000000000000004	0.05	0.046	0.048	0.05	0.049	0.10400000000000001	0.11699999999999999	0.122	0.126	0.11900000000000001	0.061	0.069	0.06	0.066	0.057999999999999996	0.048	0.047	0.052000000000000005	0.05	0.049	0.109	0.12	0.11599999999999999	0.121	0.11900000000000001
4.05	0.059000000000000004	0.07	0.062	0.066	0.11	0.051	0.046	0.048	0.05	0.049	0.115	0.125	0.134	0.135	0.127	0.065	0.076	0.062	0.069	0.061	0.05	0.047	0.048	0.05	0.049	0.115	0.129	0.135	0.14	0.131	0.064	0.07200000000000001	0.062	0.07	0.06	0.048	0.047	0.052000000000000005	0.051	0.049	0.11900000000000001	0.132	0.128	0.134	0.131
4.32	0.061	0.075	0.062	0.07	0.14400000000000002	0.052000000000000005	0.047	0.048	0.051	0.049	0.128	0.139	0.149	0.15	0.142	0.068	0.08199999999999999	0.065	0.073	0.064	0.05	0.047	0.048	0.05	0.05	0.128	0.14400000000000002	0.151	0.156	0.145	0.067	0.078	0.064	0.07400000000000001	0.073	0.048	0.047	0.052000000000000005	0.051	0.05	0.133	0.147	0.142	0.149	0.146
4.57	0.065	0.081	0.065	0.07400000000000001	0.077	0.052000000000000005	0.047	0.049	0.051	0.05	0.14300000000000002	0.156	0.168	0.16899999999999998	0.159	0.07200000000000001	0.08900000000000001	0.069	0.079	0.095	0.051	0.047	0.049	0.05	0.05	0.14400000000000002	0.162	0.17	0.174	0.163	0.071	0.084	0.068	0.08	0.066	0.048	0.047	0.053	0.051	0.05	0.149	0.165	0.16	0.16699999999999998	0.16399999999999998
4.83	0.066	0.084	0.066	0.077	0.078	0.052000000000000005	0.047	0.049	0.051	0.05	0.161	0.175	0.188	0.188	0.179	0.075	0.099	0.07200000000000001	0.085	0.07	0.051	0.047	0.049	0.051	0.05	0.163	0.183	0.19	0.195	0.183	0.07400000000000001	0.091	0.071	0.086	0.069	0.048	0.047	0.053	0.051	0.05	0.16899999999999998	0.18899999999999997	0.18	0.18600000000000003	0.184
5.1	0.07	0.09	0.087	0.084	0.087	0.053	0.047	0.049	0.051	0.05	0.185	0.201	0.214	0.212	0.20199999999999999	0.08199999999999999	0.109	0.076	0.09300000000000001	0.075	0.051	0.047	0.049	0.051	0.05	0.188	0.21100000000000002	0.218	0.222	0.20800000000000002	0.08	0.099	0.076	0.09300000000000001	0.073	0.049	0.048	0.053	0.051	0.051	0.19399999999999998	0.21600000000000003	0.205	0.21100000000000002	0.209
