Time	Temp_C	L2B1-500_1_1	L2B2-500_1_1	L2B3-500_1_1	L2B4-500_1_1	L2B5-500_1_1	L0B1-500_1_1	L0B2-500_1_1	blank_media_1_1	L2B1-500_1_2	L2B2-500_1_2	L2B3-500_1_2	L2B4-500_1_2	L2B5-500_1_2	L0B1-500_1_2	L0B2-500_1_2	blank_media_1_2	L2B1-500_2_1	L2B2-500_2_1	L2B3-500_2_1	L2B4-500_2_1	L2B5-500_2_1	L0B1-500_2_1	L0B2-500_2_1	blank_media_2_1	L2B1-500_2_2	L2B2-500_2_2	L2B3-500_2_2	L2B4-500_2_2	L2B5-500_2_2	L0B1-500_2_2	L0B2-500_2_2	blank_2_2	L2B1-500_3_1	L2B2-500_3_1	L2B3-500_3_1	L2B4-500_3_1	L2B5-500_3_1	L0B1-500_3_1	L0B2-500_3_1	blank_3_1	L2B1-500_3_2	L2B2-500_3_2	L2B3-500_3_2	L2B4-500_3_2	L2B5-500_3_2	L0B1-500_3_2	L0B2-500_3_2	blank_3_2
0:00:00	25.0	0.047	0.064	0.048	0.048	0.055	0.057	0.045	0.039	0.048	0.048	0.050	0.051	0.051	0.055	0.048	0.039	0.047	0.050	0.127	0.054	0.053	0.057	0.051	0.039	0.045	0.050	0.049	0.050	0.066	0.065	0.044	0.048	0.046	0.053	0.094	0.051	0.050	0.040	0.062	0.048	0.047	0.052	0.145	0.053	0.049	0.039	0.062	0.047
0:15:43	25.0	0.047	0.050	0.047	0.051	0.055	0.054	0.045	0.039	0.048	0.048	0.048	0.049	0.051	0.057	0.045	0.038	0.074	0.049	0.048	0.050	0.048	0.056	0.045	0.039	0.046	0.049	0.047	0.050	0.058	0.059	0.045	0.048	0.047	0.051	0.048	0.051	0.048	0.040	0.062	0.048	0.047	0.051	0.078	0.051	0.053	0.039	0.061	0.047
0:31:25	25.0	0.048	0.050	0.048	0.051	0.056	0.055	0.045	0.039	0.048	0.048	0.059	0.050	0.051	0.058	0.045	0.039	0.047	0.049	0.452	0.050	0.050	0.057	0.045	0.039	0.046	0.050	0.047	0.050	0.058	0.060	0.046	0.048	0.046	0.063	0.063	0.051	0.049	0.040	0.064	0.048	0.047	0.051	0.105	0.052	0.050	0.039	0.062	0.048
0:47:08	25.0	0.048	0.051	0.048	0.052	0.057	0.056	0.046	0.039	0.049	0.049	0.048	0.050	0.052	0.059	0.045	0.038	0.048	0.049	0.055	0.051	0.050	0.057	0.046	0.039	0.047	0.050	0.048	0.050	0.059	0.059	0.046	0.048	0.047	0.152	0.049	0.052	0.049	0.040	0.065	0.048	0.048	0.052	0.234	0.053	0.051	0.039	0.064	0.047
1:02:50	25.0	0.049	0.052	0.049	0.053	0.058	0.058	0.047	0.039	0.049	0.050	0.061	0.051	0.053	0.061	0.046	0.038	0.048	0.050	0.094	0.052	0.052	0.059	0.046	0.039	0.047	0.051	0.049	0.051	0.060	0.062	0.046	0.048	0.048	0.096	0.053	0.052	0.050	0.040	0.066	0.048	0.048	0.053	0.077	0.053	0.053	0.039	0.064	0.047
1:18:33	25.0	0.050	0.053	0.050	0.054	0.060	0.058	0.046	0.039	0.050	0.051	0.056	0.053	0.055	0.063	0.046	0.038	0.049	0.051	0.058	0.053	0.053	0.060	0.046	0.039	0.048	0.052	0.053	0.052	0.061	0.063	0.046	0.048	0.049	0.086	0.053	0.054	0.051	0.040	0.068	0.048	0.049	0.054	0.120	0.055	0.054	0.039	0.067	0.047
1:34:16	25.0	0.051	0.054	0.051	0.056	0.061	0.060	0.047	0.039	0.051	0.052	0.053	0.055	0.057	0.065	0.046	0.038	0.051	0.053	0.063	0.055	0.055	0.062	0.046	0.039	0.049	0.054	0.052	0.055	0.063	0.065	0.047	0.048	0.049	0.110	0.053	0.056	0.052	0.040	0.071	0.048	0.050	0.055	0.079	0.057	0.056	0.039	0.069	0.047
1:49:58	25.0	0.052	0.056	0.053	0.058	0.064	0.062	0.046	0.039	0.052	0.053	0.068	0.057	0.060	0.067	0.046	0.038	0.052	0.054	0.059	0.056	0.057	0.064	0.046	0.039	0.051	0.055	0.054	0.056	0.064	0.068	0.047	0.048	0.051	0.058	0.062	0.057	0.054	0.040	0.073	0.048	0.051	0.056	0.156	0.059	0.059	0.039	0.072	0.047
2:05:41	25.1	0.053	0.059	0.055	0.060	0.067	0.065	0.047	0.039	0.054	0.055	0.056	0.060	0.062	0.071	0.047	0.038	0.053	0.055	0.085	0.059	0.060	0.067	0.047	0.039	0.052	0.058	0.056	0.059	0.066	0.070	0.047	0.048	0.053	0.060	0.064	0.060	0.056	0.040	0.078	0.048	0.053	0.058	0.170	0.063	0.064	0.039	0.076	0.047
2:21:24	25.1	0.056	0.061	0.061	0.063	0.070	0.069	0.047	0.039	0.056	0.057	0.075	0.063	0.066	0.074	0.048	0.038	0.058	0.058	0.064	0.061	0.064	0.071	0.048	0.039	0.055	0.059	0.058	0.061	0.058	0.074	0.047	0.048	0.055	0.104	0.095	0.063	0.059	0.040	0.083	0.048	0.055	0.061	0.115	0.065	0.064	0.039	0.080	0.047
