Time	Temp_C	blank_1_1	L1B4-500_1_1	L1B5-500_1_1	WT_1_1	spo0A_1_1	blank_media_1_1	blank_1_1	blank_1_1	blank_1_2	L1B4-500_1_2	L1B5-500_1_2	WT_1_2	spo0A_1_2	blank_media_1_2	blank_1_2	blank_1_2	blank_2_1	L1B4-500_2_1	L1B5-500_2_1	WT_2_1	spo0A_2_1	blank_media_2_1	blank_2_1	blank_2_1	blank_2_2	L1B4-500_2_2	L1B5-500_2_2	WT_2_2	spo0A_2_2	blank_media_2_2	blank_2_2	blank_2_2	blank_3_1	L1B4-500_3_1	L1B5-500_3_1	WT_3_1	spo0A_3_1	blank_media_3_1	blank_3_1	blank_3_1	blank_3_2	L1B4-500_3_2	L1B5-500_3_2	WT_3_2	spo0A_3_2	blank_media_3_2	blank_3_2	blank_3_2
0:00:00	25.2	0.048	0.046	0.048	0.044	0.039	0.040	0.048	0.049	0.048	0.049	0.042	0.040	0.043	0.040	0.048	0.047	0.048	0.046	0.045	0.041	0.040	0.040	0.048	0.047	0.048	0.045	0.043	0.040	0.042	0.041	0.049	0.048	0.047	0.046	0.043	0.042	0.041	0.040	0.049	0.048	0.048	0.049	0.045	0.042	0.047	0.040	0.049	0.047
0:15:44	25.0	0.048	0.054	0.050	0.045	0.039	0.040	0.048	0.049	0.048	0.053	0.050	0.044	0.046	0.040	0.048	0.047	0.048	0.054	0.050	0.045	0.043	0.040	0.048	0.047	0.048	0.056	0.049	0.044	0.043	0.041	0.049	0.048	0.047	0.052	0.049	0.045	0.044	0.040	0.049	0.048	0.048	0.054	0.050	0.045	0.045	0.040	0.049	0.047
0:31:26	25.0	0.048	0.055	0.050	0.045	0.039	0.040	0.048	0.049	0.048	0.053	0.050	0.044	0.046	0.040	0.048	0.047	0.048	0.054	0.050	0.045	0.044	0.040	0.048	0.047	0.048	0.056	0.049	0.044	0.044	0.041	0.049	0.048	0.047	0.052	0.049	0.046	0.045	0.040	0.049	0.048	0.048	0.054	0.050	0.045	0.045	0.039	0.049	0.047
0:47:09	25.0	0.048	0.055	0.050	0.045	0.039	0.040	0.048	0.049	0.048	0.053	0.050	0.044	0.047	0.040	0.048	0.047	0.048	0.055	0.051	0.045	0.044	0.040	0.048	0.047	0.048	0.056	0.049	0.044	0.044	0.041	0.049	0.048	0.047	0.053	0.050	0.046	0.045	0.040	0.049	0.048	0.048	0.055	0.050	0.045	0.046	0.039	0.049	0.047
1:02:52	25.1	0.048	0.056	0.050	0.047	0.039	0.040	0.048	0.049	0.048	0.054	0.051	0.045	0.047	0.040	0.048	0.047	0.048	0.055	0.051	0.046	0.044	0.040	0.048	0.047	0.048	0.057	0.050	0.044	0.044	0.041	0.049	0.048	0.047	0.054	0.050	0.047	0.046	0.040	0.049	0.048	0.048	0.056	0.051	0.047	0.046	0.040	0.049	0.047
1:18:34	25.1	0.048	0.057	0.051	0.048	0.039	0.040	0.048	0.049	0.048	0.055	0.051	0.045	0.048	0.040	0.048	0.047	0.048	0.056	0.052	0.046	0.045	0.040	0.048	0.047	0.048	0.058	0.051	0.046	0.045	0.041	0.049	0.048	0.047	0.055	0.050	0.047	0.047	0.040	0.049	0.048	0.048	0.057	0.051	0.047	0.047	0.040	0.049	0.047
1:34:17	25.1	0.048	0.058	0.052	0.047	0.039	0.040	0.048	0.049	0.048	0.056	0.052	0.047	0.049	0.040	0.048	0.047	0.048	0.057	0.053	0.047	0.046	0.040	0.048	0.047	0.048	0.059	0.052	0.046	0.046	0.041	0.049	0.048	0.047	0.056	0.051	0.048	0.048	0.040	0.049	0.048	0.048	0.058	0.052	0.048	0.048	0.040	0.049	0.047
1:50:00	25.1	0.048	0.059	0.053	0.049	0.039	0.040	0.048	0.049	0.048	0.057	0.053	0.047	0.050	0.040	0.048	0.047	0.048	0.058	0.054	0.049	0.047	0.040	0.048	0.047	0.048	0.060	0.053	0.047	0.046	0.041	0.049	0.048	0.047	0.056	0.052	0.049	0.049	0.040	0.049	0.048	0.048	0.059	0.053	0.048	0.049	0.040	0.049	0.047
2:05:42	25.1	0.048	0.061	0.055	0.049	0.039	0.040	0.048	0.049	0.048	0.058	0.055	0.048	0.051	0.040	0.048	0.047	0.048	0.059	0.056	0.049	0.048	0.040	0.048	0.047	0.048	0.061	0.054	0.048	0.047	0.041	0.049	0.048	0.047	0.058	0.053	0.049	0.050	0.040	0.049	0.048	0.048	0.060	0.054	0.049	0.050	0.039	0.049	0.047
2:21:25	25.0	0.048	0.063	0.057	0.051	0.039	0.040	0.048	0.049	0.048	0.060	0.056	0.049	0.053	0.040	0.048	0.047	0.048	0.061	0.058	0.051	0.049	0.040	0.048	0.047	0.048	0.063	0.056	0.049	0.048	0.041	0.049	0.048	0.047	0.059	0.054	0.051	0.051	0.040	0.049	0.048	0.048	0.062	0.055	0.050	0.052	0.039	0.049	0.047
2:37:08	25.0	0.048	0.065	0.059	0.052	0.039	0.040	0.048	0.049	0.048	0.062	0.058	0.051	0.055	0.040	0.048	0.047	0.048	0.063	0.060	0.052	0.051	0.040	0.048	0.047	0.048	0.065	0.059	0.051	0.049	0.041	0.049	0.048	0.047	0.061	0.055	0.053	0.053	0.040	0.049	0.048	0.048	0.064	0.057	0.051	0.054	0.039	0.049	0.047
2:52:51	25.0	0.048	0.069	0.061	0.055	0.039	0.040	0.048	0.049	0.048	0.065	0.060	0.053	0.058	0.040	0.048	0.047	0.048	0.065	0.062	0.055	0.052	0.040	0.048	0.047	0.048	0.068	0.060	0.053	0.051	0.041	0.049	0.048	0.047	0.064	0.056	0.055	0.055	0.040	0.049	0.048	0.048	0.066	0.058	0.053	0.056	0.039	0.049	0.047
