Time	L2D1-100_1	L2D1-100_2	L2D1-100_3	L2F1-100_1	L2F1-100_2	L2F1-100_3	L2J1-100_1	L2J1-100_2	L2D2-100_1	L2D2-100_2	L2D2-100_3	L2F2-100_1	L2F2-100_2	L2F2-100_3	L2J2-100_1	L2J2-100_2	L2D3-100_1	L2D3-100_2	L2D3-100_3	L2F3-100_1	L2F3-100_2	L2F3-100_3	L2J3-100_1	L2J3-100_2	L2D4-100_1	L2D4-100_2	L2D4-100_3	L2F4-100_1	L2F4-100_2	L2F4-100_3	L2J4-100_1	L2J4-100_2	L2D5-100_1	L2D5-100_2	L2D5-100_3	L2F5-100_1	L2F5-100_2	L2F5-100_3	L2J5-100_1	L2J5-100_2	L2J1-100_3	L2J2-100_3	L2J3-100_3	L2J4-100_3	L2J5-100_3
0.0	0.042	0.04	0.047	0.043	0.040999999999999995	0.043	0.042	0.040999999999999995	0.040999999999999995	0.042	0.04	0.044000000000000004	0.068	0.043	0.23199999999999998	0.146	0.040999999999999995	0.042	0.04	0.045	0.045	0.055	0.043	0.04	0.042	0.043	0.039	0.042	0.044000000000000004	0.044000000000000004	0.059000000000000004	0.045	0.042	0.065	0.04	0.052000000000000005	0.039	0.077	0.061	0.051	0.048	0.057999999999999996	0.08	0.063	0.055999999999999994
0.25	0.043	0.042	0.043	0.049	0.05	0.051	0.063	0.06	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.047	0.048	0.048	0.054000000000000006	0.054000000000000006	0.042	0.042	0.042	0.051	0.051	0.051	0.062	0.063	0.046	0.046	0.046	0.049	0.049	0.049	0.061	0.063	0.044000000000000004	0.045	0.045	0.047	0.047	0.048	0.065	0.08900000000000001	0.063	0.057	0.062	0.062	0.064
0.52	0.043	0.042	0.043	0.049	0.05	0.051	0.063	0.061	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.048	0.048	0.048	0.053	0.053	0.042	0.042	0.043	0.051	0.052000000000000005	0.051	0.065	0.066	0.046	0.046	0.046	0.049	0.049	0.05	0.061	0.063	0.044000000000000004	0.045	0.045	0.047	0.047	0.048	0.068	0.094	0.063	0.057	0.065	0.063	0.067
0.78	0.043	0.042	0.043	0.05	0.051	0.053	0.062	0.063	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.048	0.049	0.049	0.052000000000000005	0.054000000000000006	0.042	0.042	0.043	0.052000000000000005	0.052000000000000005	0.052000000000000005	0.067	0.068	0.046	0.046	0.046	0.049	0.05	0.05	0.062	0.064	0.044000000000000004	0.045	0.045	0.048	0.047	0.048	0.07	0.099	0.066	0.057999999999999996	0.067	0.064	0.07
1.03	0.043	0.042	0.043	0.051	0.052000000000000005	0.052000000000000005	0.065	0.064	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.049	0.05	0.05	0.052000000000000005	0.052000000000000005	0.042	0.042	0.043	0.052000000000000005	0.053	0.052000000000000005	0.069	0.07200000000000001	0.046	0.046	0.046	0.05	0.051	0.051	0.064	0.066	0.044000000000000004	0.044000000000000004	0.045	0.049	0.048	0.049	0.073	0.105	0.067	0.057999999999999996	0.07	0.066	0.073
1.3	0.043	0.042	0.043	0.052000000000000005	0.053	0.053	0.068	0.067	0.044000000000000004	0.044000000000000004	0.044000000000000004	0.05	0.05	0.051	0.052000000000000005	0.052000000000000005	0.042	0.043	0.043	0.053	0.054000000000000006	0.053	0.07200000000000001	0.075	0.046	0.046	0.046	0.051	0.051	0.052000000000000005	0.066	0.068	0.044000000000000004	0.044000000000000004	0.045	0.05	0.049	0.05	0.077	0.111	0.071	0.057999999999999996	0.073	0.068	0.076
1.57	0.043	0.042	0.043	0.052000000000000005	0.054000000000000006	0.055	0.073	0.07	0.044000000000000004	0.045	0.045	0.051	0.051	0.052000000000000005	0.051	0.053	0.043	0.043	0.043	0.054000000000000006	0.055	0.055	0.076	0.078	0.046	0.046	0.047	0.052000000000000005	0.052000000000000005	0.053	0.068	0.069	0.044000000000000004	0.045	0.045	0.05	0.05	0.051	0.081	0.11900000000000001	0.073	0.06	0.077	0.07	0.08
1.82	0.043	0.042	0.043	0.054000000000000006	0.055	0.055999999999999994	0.076	0.075	0.045	0.045	0.045	0.052000000000000005	0.052000000000000005	0.053	0.051	0.06	0.043	0.043	0.043	0.055	0.055999999999999994	0.055	0.08	0.08199999999999999	0.047	0.047	0.047	0.053	0.053	0.054000000000000006	0.069	0.071	0.044000000000000004	0.045	0.046	0.051	0.051	0.052000000000000005	0.086	0.127	0.076	0.06	0.081	0.07200000000000001	0.084
2.08	0.043	0.043	0.043	0.055	0.055999999999999994	0.057	0.078	0.077	0.045	0.045	0.045	0.053	0.053	0.054000000000000006	0.052000000000000005	0.055999999999999994	0.043	0.043	0.043	0.057	0.057	0.057	0.084	0.087	0.047	0.047	0.047	0.054000000000000006	0.055	0.055	0.071	0.07400000000000001	0.045	0.045	0.046	0.052000000000000005	0.052000000000000005	0.053	0.09	0.13699999999999998	0.079	0.061	0.085	0.075	0.08900000000000001
2.35	0.043	0.043	0.043	0.055999999999999994	0.057	0.057999999999999996	0.083	0.08199999999999999	0.045	0.045	0.045	0.055	0.055	0.055	0.052000000000000005	0.069	0.043	0.043	0.043	0.057999999999999996	0.057999999999999996	0.057	0.08800000000000001	0.092	0.047	0.047	0.047	0.055999999999999994	0.055999999999999994	0.055999999999999994	0.07400000000000001	0.076	0.045	0.045	0.046	0.054000000000000006	0.053	0.054000000000000006	0.096	0.147	0.08199999999999999	0.087	0.09	0.077	0.095
