Time	L0B1-300_1	L0B2-300_1	L0B3-300_1	L0B4-300_1	L0B5-300_1	L1B1-300_1	L1B2-300_1	L1B3-300_1	L1B4-300_1	L1B5-300_1	L2B1-300_1	L2B2-300_1	L2B3-300_1	L2B4-300_1	L2B5-300_1	L0B1-300_2	L0B2-300_2	L0B3-300_2	L0B4-300_2	L0B5-300_2	L1B1-300_2	L1B2-300_2	L1B3-300_2	L1B4-300_2	L1B5-300_2	L2B1-300_2	L2B2-300_2	L2B3-300_2	L2B4-300_2	L2B5-300_2	L0B1-300_3	L0B2-300_3	L0B3-300_3	L0B4-300_3	L0B5-300_3	L1B1-300_3	L1B2-300_3	L1B3-300_3	L1B4-300_3	L1B5-300_3	L2B1-300_3	L2B2-300_3	L2B3-300_3	L2B4-300_3	L2B5-300_3
0.0	0.064	0.047	0.06	0.055	0.06	0.046	0.059000000000000004	0.054000000000000006	0.053	0.049	0.068	0.046	0.043	0.044000000000000004	0.043	0.057999999999999996	0.046	0.059000000000000004	0.05	0.054000000000000006	0.052000000000000005	0.054000000000000006	0.051	0.057	0.049	0.05	0.051	0.047	0.045	0.045	0.055999999999999994	0.045	0.053	0.049	0.051	0.064	0.057	0.055999999999999994	0.054000000000000006	0.051	0.051	0.047	0.046	0.046	0.048
0.25	0.057	0.047	0.055999999999999994	0.055	0.055	0.045	0.055999999999999994	0.055	0.055999999999999994	0.053	0.052000000000000005	0.054000000000000006	0.05	0.049	0.049	0.057999999999999996	0.048	0.057	0.055999999999999994	0.057	0.046	0.057999999999999996	0.055	0.057	0.053	0.052000000000000005	0.054000000000000006	0.049	0.05	0.049	0.057	0.049	0.057	0.055	0.057	0.054000000000000006	0.059000000000000004	0.052000000000000005	0.057	0.053	0.051	0.05	0.049	0.05	0.049
0.52	0.055999999999999994	0.046	0.055999999999999994	0.055999999999999994	0.055999999999999994	0.049	0.055999999999999994	0.052000000000000005	0.055	0.053	0.052000000000000005	0.054000000000000006	0.051	0.051	0.049	0.059000000000000004	0.049	0.057	0.055999999999999994	0.057	0.045	0.057	0.057999999999999996	0.057	0.053	0.051	0.055	0.049	0.05	0.049	0.057999999999999996	0.048	0.057	0.055999999999999994	0.057999999999999996	0.049	0.06	0.052000000000000005	0.057	0.053	0.051	0.05	0.05	0.05	0.049
0.78	0.057	0.048	0.057	0.055999999999999994	0.055999999999999994	0.047	0.055999999999999994	0.052000000000000005	0.055999999999999994	0.053	0.053	0.054000000000000006	0.05	0.05	0.049	0.06	0.049	0.057999999999999996	0.057	0.057999999999999996	0.05	0.057	0.055999999999999994	0.057	0.053	0.051	0.055	0.049	0.051	0.05	0.059000000000000004	0.049	0.057	0.055	0.057999999999999996	0.07400000000000001	0.055999999999999994	0.052000000000000005	0.057	0.053	0.051	0.05	0.05	0.05	0.049
1.03	0.057999999999999996	0.047	0.055999999999999994	0.055999999999999994	0.057	0.048	0.055999999999999994	0.053	0.055	0.052000000000000005	0.053	0.054000000000000006	0.05	0.05	0.05	0.061	0.049	0.057999999999999996	0.057999999999999996	0.059000000000000004	0.045	0.055999999999999994	0.055	0.057	0.053	0.051	0.055	0.051	0.051	0.05	0.06	0.049	0.057999999999999996	0.057	0.059000000000000004	0.05	0.057999999999999996	0.052000000000000005	0.057	0.053	0.052000000000000005	0.051	0.057	0.051	0.05
1.3	0.059000000000000004	0.047	0.057	0.057	0.057999999999999996	0.048	0.055999999999999994	0.053	0.055	0.052000000000000005	0.055	0.054000000000000006	0.051	0.051	0.051	0.062	0.049	0.057999999999999996	0.057999999999999996	0.06	0.049	0.055999999999999994	0.055	0.057	0.053	0.052000000000000005	0.055	0.05	0.052000000000000005	0.05	0.061	0.049	0.057999999999999996	0.057	0.06	0.047	0.055999999999999994	0.052000000000000005	0.057	0.053	0.052000000000000005	0.051	0.05	0.051	0.075
1.57	0.061	0.047	0.057	0.057999999999999996	0.059000000000000004	0.049	0.055	0.052000000000000005	0.055	0.063	0.053	0.055	0.062	0.052000000000000005	0.05	0.063	0.05	0.057999999999999996	0.059000000000000004	0.061	0.098	0.055999999999999994	0.055999999999999994	0.057	0.053	0.052000000000000005	0.055999999999999994	0.051	0.052000000000000005	0.051	0.063	0.05	0.057999999999999996	0.057	0.061	0.048	0.055999999999999994	0.053	0.057	0.052000000000000005	0.052000000000000005	0.051	0.05	0.052000000000000005	0.055999999999999994
1.82	0.061	0.047	0.057	0.057999999999999996	0.059000000000000004	0.052000000000000005	0.055	0.053	0.055999999999999994	0.052000000000000005	0.053	0.055	0.052000000000000005	0.052000000000000005	0.051	0.064	0.05	0.057999999999999996	0.06	0.062	0.051	0.055999999999999994	0.055999999999999994	0.057	0.053	0.052000000000000005	0.055999999999999994	0.052000000000000005	0.053	0.051	0.064	0.049	0.057999999999999996	0.057999999999999996	0.062	0.046	0.055999999999999994	0.053	0.057	0.053	0.052000000000000005	0.051	0.051	0.052000000000000005	0.051
2.08	0.063	0.047	0.057999999999999996	0.059000000000000004	0.06	0.048	0.055999999999999994	0.055	0.055999999999999994	0.052000000000000005	0.059000000000000004	0.055	0.053	0.052000000000000005	0.051	0.067	0.05	0.06	0.061	0.063	0.047	0.055999999999999994	0.057999999999999996	0.057	0.053	0.052000000000000005	0.055999999999999994	0.053	0.054000000000000006	0.052000000000000005	0.066	0.05	0.059000000000000004	0.059000000000000004	0.063	0.045	0.055999999999999994	0.054000000000000006	0.057	0.053	0.053	0.052000000000000005	0.057	0.053	0.054000000000000006
2.35	0.065	0.047	0.057999999999999996	0.061	0.061	0.049	0.055	0.055	0.055999999999999994	0.053	0.065	0.055999999999999994	0.054000000000000006	0.054000000000000006	0.052000000000000005	0.069	0.05	0.06	0.063	0.065	0.05	0.055999999999999994	0.057999999999999996	0.057999999999999996	0.053	0.053	0.057	0.054000000000000006	0.055	0.053	0.068	0.05	0.06	0.061	0.064	0.049	0.055999999999999994	0.055	0.057	0.053	0.053	0.051	0.057999999999999996	0.054000000000000006	0.059000000000000004
2.62	0.067	0.048	0.057999999999999996	0.063	0.063	0.05	0.054000000000000006	0.055999999999999994	0.055999999999999994	0.053	0.057	0.057	0.07200000000000001	0.054000000000000006	0.055999999999999994	0.07200000000000001	0.05	0.059000000000000004	0.065	0.066	0.051	0.055999999999999994	0.059000000000000004	0.057999999999999996	0.054000000000000006	0.057	0.057999999999999996	0.055999999999999994	0.055999999999999994	0.054000000000000006	0.07	0.05	0.059000000000000004	0.063	0.066	0.047	0.055999999999999994	0.055999999999999994	0.057999999999999996	0.053	0.055	0.052000000000000005	0.054000000000000006	0.055	0.071
2.87	0.069	0.048	0.059000000000000004	0.065	0.065	0.05	0.055	0.059000000000000004	0.055999999999999994	0.053	0.055	0.057	0.085	0.055999999999999994	0.055	0.076	0.05	0.06	0.067	0.069	0.047	0.055999999999999994	0.061	0.057999999999999996	0.054000000000000006	0.054000000000000006	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.055	0.07400000000000001	0.05	0.06	0.065	0.069	0.05	0.055999999999999994	0.057	0.057999999999999996	0.053	0.054000000000000006	0.055	0.057999999999999996	0.057	0.055
3.13	0.07200000000000001	0.048	0.059000000000000004	0.066	0.068	0.049	0.055	0.059000000000000004	0.055999999999999994	0.053	0.06	0.059000000000000004	0.084	0.057	0.057	0.079	0.05	0.061	0.069	0.07200000000000001	0.051	0.057	0.063	0.059000000000000004	0.054000000000000006	0.055	0.06	0.06	0.059000000000000004	0.057999999999999996	0.078	0.05	0.061	0.067	0.07200000000000001	0.05	0.055	0.059000000000000004	0.057999999999999996	0.053	0.055	0.053	0.068	0.057999999999999996	0.057
3.4	0.076	0.048	0.06	0.07	0.071	0.046	0.055	0.061	0.057	0.054000000000000006	0.057999999999999996	0.06	0.09300000000000001	0.059000000000000004	0.059000000000000004	0.084	0.051	0.062	0.073	0.077	0.054000000000000006	0.055999999999999994	0.066	0.059000000000000004	0.055	0.057	0.061	0.063	0.061	0.061	0.08199999999999999	0.051	0.063	0.07	0.075	0.047	0.055	0.062	0.057999999999999996	0.054000000000000006	0.055999999999999994	0.055999999999999994	0.064	0.06	0.059000000000000004
3.65	0.078	0.049	0.062	0.073	0.076	0.047	0.055	0.066	0.057	0.055	0.061	0.061	0.099	0.061	0.061	0.087	0.052000000000000005	0.064	0.076	0.081	0.05	0.055999999999999994	0.07	0.06	0.055999999999999994	0.057999999999999996	0.064	0.066	0.063	0.062	0.086	0.054000000000000006	0.064	0.073	0.08	0.055999999999999994	0.055	0.063	0.057999999999999996	0.055	0.057	0.057	0.068	0.063	0.061
3.92	0.08	0.05	0.063	0.075	0.079	0.047	0.055999999999999994	0.066	0.057	0.055	0.064	0.065	0.1	0.063	0.063	0.09	0.051	0.066	0.08	0.086	0.045	0.055	0.073	0.061	0.055999999999999994	0.06	0.065	0.071	0.067	0.067	0.09300000000000001	0.052000000000000005	0.065	0.075	0.085	0.049	0.055	0.066	0.059000000000000004	0.055	0.059000000000000004	0.057	0.07	0.065	0.065
4.18	0.086	0.05	0.065	0.078	0.084	0.047	0.059000000000000004	0.07	0.057999999999999996	0.055999999999999994	0.069	0.066	0.115	0.065	0.066	0.099	0.052000000000000005	0.066	0.083	0.09300000000000001	0.057999999999999996	0.055999999999999994	0.079	0.063	0.057999999999999996	0.062	0.068	0.075	0.07	0.068	0.098	0.051	0.068	0.077	0.092	0.055	0.055	0.071	0.059000000000000004	0.057	0.061	0.057999999999999996	0.09699999999999999	0.068	0.068
4.45	0.094	0.048	0.067	0.079	0.08900000000000001	0.048	0.055	0.076	0.059000000000000004	0.059000000000000004	0.066	0.068	0.079	0.069	0.07	0.115	0.052000000000000005	0.07	0.084	0.10099999999999999	0.045	0.055999999999999994	0.085	0.065	0.059000000000000004	0.064	0.07200000000000001	0.08199999999999999	0.075	0.07200000000000001	0.109	0.052000000000000005	0.07	0.081	0.098	0.049	0.055999999999999994	0.076	0.06	0.057999999999999996	0.064	0.063	0.079	0.07200000000000001	0.07200000000000001
4.7	0.10800000000000001	0.049	0.069	0.081	0.092	0.044000000000000004	0.055	0.083	0.059000000000000004	0.06	0.069	0.071	0.106	0.07400000000000001	0.07400000000000001	0.13	0.05	0.07200000000000001	0.086	0.107	0.07	0.055999999999999994	0.092	0.067	0.061	0.069	0.078	0.08900000000000001	0.08	0.08	0.124	0.049	0.073	0.083	0.106	0.047	0.055	0.08199999999999999	0.061	0.06	0.066	0.067	0.086	0.076	0.077
4.97	0.11800000000000001	0.064	0.07200000000000001	0.083	0.096	0.046	0.055	0.086	0.06	0.061	0.085	0.07400000000000001	0.168	0.084	0.08800000000000001	0.149	0.054000000000000006	0.075	0.087	0.115	0.052000000000000005	0.055999999999999994	0.099	0.07	0.063	0.07400000000000001	0.092	0.098	0.085	0.081	0.14	0.052000000000000005	0.077	0.08199999999999999	0.115	0.048	0.055	0.09	0.062	0.062	0.068	0.064	0.106	0.081	0.081
5.23	0.133	0.054000000000000006	0.075	0.079	0.109	0.046	0.054000000000000006	0.10099999999999999	0.062	0.062	0.083	0.078	0.192	0.083	0.084	0.17300000000000001	0.054000000000000006	0.079	0.086	0.125	0.051	0.066	0.10800000000000001	0.073	0.065	0.08	0.086	0.19	0.095	0.08800000000000001	0.156	0.054000000000000006	0.081	0.081	0.126	0.05	0.055	0.099	0.064	0.064	0.073	0.073	0.11	0.08800000000000001	0.087
5.48	0.15	0.055999999999999994	0.079	0.078	0.10800000000000001	0.049	0.054000000000000006	0.11599999999999999	0.063	0.069	0.083	0.084	0.165	0.08900000000000001	0.10300000000000001	0.201	0.049	0.084	0.087	0.13699999999999998	0.048	0.055999999999999994	0.141	0.077	0.067	0.081	0.096	0.20600000000000002	0.105	0.14400000000000002	0.18	0.054000000000000006	0.086	0.08	0.134	0.049	0.055	0.109	0.066	0.066	0.077	0.071	0.125	0.096	0.09699999999999999
5.75	0.175	0.051	0.085	0.081	0.11699999999999999	0.047	0.055	0.109	0.065	0.067	0.111	0.09	0.203	0.11599999999999999	0.142	0.221	0.055999999999999994	0.09	0.08900000000000001	0.152	0.159	0.055999999999999994	0.136	0.08199999999999999	0.07	0.08900000000000001	0.106	0.14400000000000002	0.122	0.107	0.20800000000000002	0.053	0.091	0.091	0.146	0.048	0.055	0.309	0.068	0.069	0.084	0.076	0.163	0.106	0.109
6.02	0.19699999999999998	0.053	0.087	0.086	0.13	0.052000000000000005	0.055	0.122	0.066	0.07	0.129	0.09699999999999999	0.14800000000000002	0.133	0.138	0.259	0.057	0.09699999999999999	0.096	0.162	0.057	0.055999999999999994	0.466	0.087	0.073	0.098	0.11800000000000001	0.161	0.182	0.11900000000000001	0.23199999999999998	0.055	0.099	0.08900000000000001	0.162	0.05	0.055	0.136	0.07	0.071	0.091	0.083	0.162	0.11699999999999999	0.122
6.28	0.22	0.059000000000000004	0.092	0.09699999999999999	0.138	0.048	0.055	0.136	0.068	0.073	0.14800000000000002	0.10800000000000001	0.16699999999999998	0.121	0.168	0.266	0.061	0.105	0.11599999999999999	0.17600000000000002	0.05	0.055999999999999994	0.365	0.091	0.077	0.109	0.132	0.18	0.154	0.135	0.26	0.057999999999999996	0.107	0.102	0.171	0.047	0.055	0.152	0.07200000000000001	0.075	0.105	0.09	0.18600000000000003	0.131	0.14
6.53	0.23399999999999999	0.059000000000000004	0.102	0.129	0.153	0.047	0.055	0.155	0.07	0.079	0.145	0.125	0.185	0.13699999999999998	0.226	0.289	0.068	0.115	0.139	0.19699999999999998	0.049	0.055999999999999994	0.19	0.09699999999999999	0.084	0.126	0.152	0.20600000000000002	0.172	0.154	0.28600000000000003	0.064	0.11800000000000001	0.126	0.191	0.053	0.055	0.175	0.075	0.08	0.114	0.10099999999999999	0.218	0.14800000000000002	0.16
6.8	0.263	0.06	0.11	0.124	0.16699999999999998	0.051	0.055999999999999994	0.16899999999999998	0.07200000000000001	0.084	0.156	0.134	0.205	0.165	0.168	0.321	0.07	0.127	0.16	0.217	0.094	0.055999999999999994	0.226	0.10400000000000001	0.08900000000000001	0.141	0.171	0.231	0.18600000000000003	0.17300000000000001	0.312	0.069	0.131	0.146	0.212	0.053	0.055	0.195	0.078	0.086	0.128	0.113	0.243	0.166	0.175
7.07	0.27399999999999997	0.065	0.122	0.149	0.185	0.049	0.055	0.184	0.076	0.091	0.172	0.153	0.23199999999999998	0.183	0.187	0.327	0.07400000000000001	0.14300000000000002	0.18899999999999997	0.242	0.052000000000000005	0.057	0.23800000000000002	0.111	0.1	0.162	0.18899999999999997	0.257	0.21	0.19	0.332	0.071	0.14400000000000002	0.16899999999999998	0.24100000000000002	0.066	0.059000000000000004	0.221	0.081	0.096	0.145	0.127	0.266	0.18100000000000002	0.195
7.32	0.292	0.068	0.136	0.168	0.21	0.054000000000000006	0.055	0.205	0.079	0.10300000000000001	0.20199999999999999	0.174	0.257	0.185	0.196	0.344	0.08	0.159	0.21600000000000003	0.27	0.051	0.057999999999999996	0.263	0.12	0.11199999999999999	0.179	0.21100000000000002	0.282	0.235	0.214	0.34700000000000003	0.076	0.159	0.19399999999999998	0.26	0.179	0.055999999999999994	0.242	0.086	0.107	0.165	0.145	0.289	0.201	0.221
7.58	0.305	0.07400000000000001	0.155	0.191	0.23	0.06	0.057999999999999996	0.226	0.084	0.113	0.21600000000000003	0.19	0.281	0.21100000000000002	0.221	0.361	0.087	0.174	0.247	0.294	0.054000000000000006	0.057	0.287	0.13	0.125	0.2	0.235	0.306	0.258	0.237	0.36	0.084	0.174	0.222	0.292	0.059000000000000004	0.055999999999999994	0.261	0.092	0.12	0.182	0.163	0.311	0.222	0.24
7.85	0.317	0.08	0.17	0.21600000000000003	0.254	0.06	0.055	0.247	0.08900000000000001	0.128	0.242	0.21100000000000002	0.306	0.23199999999999998	0.247	0.365	0.096	0.18899999999999997	0.28	0.317	0.055	0.057	0.299	0.142	0.14300000000000002	0.228	0.263	0.327	0.27699999999999997	0.264	0.371	0.09300000000000001	0.192	0.255	0.313	0.214	0.055999999999999994	0.276	0.099	0.136	0.201	0.18100000000000002	0.32299999999999995	0.24600000000000002	0.262
8.12	0.335	0.085	0.19	0.25	0.275	0.059000000000000004	0.055999999999999994	0.272	0.099	0.14800000000000002	0.26899999999999996	0.24	0.331	0.261	0.27399999999999997	0.384	0.106	0.213	0.318	0.34299999999999997	0.06	0.057999999999999996	0.32	0.158	0.165	0.258	0.292	0.342	0.305	0.29	0.38299999999999995	0.102	0.21600000000000003	0.29100000000000004	0.336	0.057999999999999996	0.055999999999999994	0.29600000000000004	0.10800000000000001	0.156	0.22699999999999998	0.203	0.331	0.27	0.28800000000000003
8.37	0.354	0.096	0.2	0.27899999999999997	0.293	0.063	0.057	0.289	0.105	0.168	0.294	0.271	0.34600000000000003	0.287	0.301	0.397	0.11900000000000001	0.22899999999999998	0.34600000000000003	0.363	0.065	0.059000000000000004	0.35200000000000004	0.175	0.187	0.282	0.322	0.34700000000000003	0.32799999999999996	0.316	0.397	0.11599999999999999	0.235	0.32299999999999995	0.35700000000000004	0.07	0.057	0.313	0.11800000000000001	0.17800000000000002	0.254	0.226	0.331	0.293	0.307
8.63	0.349	0.105	0.214	0.305	0.314	0.106	0.057	0.301	0.115	0.187	0.317	0.29100000000000004	0.34700000000000003	0.32	0.34600000000000003	0.41100000000000003	0.134	0.247	0.374	0.38	0.08900000000000001	0.059000000000000004	0.35	0.203	0.20600000000000002	0.307	0.348	0.34299999999999997	0.34	0.33299999999999996	0.405	0.129	0.25	0.34700000000000003	0.376	0.071	0.057	0.32799999999999996	0.129	0.198	0.276	0.251	0.327	0.315	0.32299999999999995
8.9	0.35700000000000004	0.113	0.247	0.331	0.331	0.07200000000000001	0.057999999999999996	0.317	0.128	0.20600000000000002	0.341	0.319	0.348	0.335	0.33799999999999997	0.423	0.142	0.268	0.408	0.39299999999999996	0.10099999999999999	0.06	0.369	0.209	0.22899999999999998	0.335	0.375	0.341	0.35100000000000003	0.34700000000000003	0.42	0.14300000000000002	0.266	0.379	0.38799999999999996	0.092	0.057	0.34299999999999997	0.141	0.21899999999999997	0.304	0.275	0.326	0.33799999999999997	0.332
9.15	0.373	0.131	0.247	0.36200000000000004	0.34600000000000003	0.091	0.059000000000000004	0.33299999999999996	0.14300000000000002	0.23199999999999998	0.396	0.354	0.349	0.35600000000000004	0.34700000000000003	0.441	0.157	0.285	0.43799999999999994	0.41	0.07200000000000001	0.061	0.384	0.233	0.257	0.355	0.397	0.34	0.355	0.349	0.434	0.157	0.282	0.409	0.406	0.08199999999999999	0.057999999999999996	0.365	0.156	0.243	0.32899999999999996	0.302	0.32799999999999996	0.354	0.332
9.42	0.384	0.14300000000000002	0.262	0.397	0.35600000000000004	0.196	0.061	0.348	0.155	0.263	0.408	0.382	0.34700000000000003	0.37	0.348	0.46299999999999997	0.172	0.297	0.47	0.43	0.314	0.062	0.40299999999999997	0.258	0.289	0.373	0.418	0.341	0.36	0.34700000000000003	0.45399999999999996	0.17	0.298	0.44	0.424	0.135	0.057999999999999996	0.382	0.172	0.273	0.353	0.331	0.32899999999999996	0.364	0.331
9.68	0.402	0.154	0.281	0.429	0.364	0.099	0.061	0.365	0.171	0.294	0.386	0.41	0.34600000000000003	0.37799999999999995	0.344	0.48200000000000004	0.193	0.311	0.502	0.45	0.096	0.063	0.426	0.282	0.318	0.384	0.43200000000000005	0.34299999999999997	0.365	0.34299999999999997	0.473	0.19	0.315	0.47100000000000003	0.44299999999999995	0.125	0.06	0.401	0.18899999999999997	0.303	0.37	0.361	0.332	0.368	0.32899999999999996
9.93	0.409	0.17300000000000001	0.28	0.45899999999999996	0.37200000000000005	0.1	0.069	0.38	0.187	0.32	0.39299999999999996	0.43	0.34700000000000003	0.382	0.344	0.504	0.209	0.33	0.531	0.474	0.107	0.065	0.447	0.312	0.34600000000000003	0.39	0.445	0.342	0.371	0.342	0.493	0.213	0.331	0.502	0.467	0.14400000000000002	0.06	0.423	0.203	0.331	0.379	0.386	0.33399999999999996	0.374	0.33
