Time	L2B1-100_1	L2B2-100_1	L2B3-100_1	L2B4-100_1	L2B5-100_1	L2F1-100_1	L2F2-100_1	L2F3-100_1	L2F4-100_1	L2F5-100_1	L2B1-100_2	L2B2-100_2	L2B3-100_2	L2B4-100_2	L2B5-100_2	L2F1-100_2	L2F2-100_2	L2F3-100_2	L2F4-100_2	L2F5-100_2	L2B1-100_3	L2B2-100_3	L2B3-100_3	L2B4-100_3	L2B5-100_3	L2F1-100_3	L2F2-100_3	L2F3-100_3	L2F4-100_3	L2F5-100_3
0.0	0.204	0.039	0.04	0.04	0.042	0.043	0.048	0.039	0.040999999999999995	0.047	0.046	0.040999999999999995	0.079	0.04	0.040999999999999995	0.079	0.042	0.043	0.063	0.073	0.05	0.042	0.042	0.042	0.043	0.065	0.07400000000000001	0.059000000000000004	0.046	0.049
0.25	0.047	0.043	0.044000000000000004	0.048	0.046	0.052000000000000005	0.052000000000000005	0.052000000000000005	0.051	0.052000000000000005	0.046	0.044000000000000004	0.091	0.045	0.045	0.052000000000000005	0.052000000000000005	0.053	0.053	0.053	0.045	0.044000000000000004	0.045	0.045	0.045	0.055	0.052000000000000005	0.055	0.052000000000000005	0.052000000000000005
0.52	0.076	0.043	0.044000000000000004	0.045	0.045	0.052000000000000005	0.053	0.09699999999999999	0.051	0.052000000000000005	0.046	0.044000000000000004	0.049	0.045	0.045	0.052000000000000005	0.052000000000000005	0.053	0.053	0.053	0.049	0.044000000000000004	0.045	0.045	0.045	0.055999999999999994	0.052000000000000005	0.057	0.053	0.053
0.78	0.049	0.043	0.044000000000000004	0.045	0.046	0.052000000000000005	0.053	0.066	0.052000000000000005	0.054000000000000006	0.047	0.044000000000000004	0.046	0.046	0.046	0.053	0.053	0.054000000000000006	0.055	0.057	0.045	0.044000000000000004	0.045	0.045	0.046	0.057	0.053	0.055	0.053	0.053
1.03	0.174	0.044000000000000004	0.045	0.045	0.046	0.053	0.053	0.054000000000000006	0.052000000000000005	0.053	0.047	0.045	0.047	0.047	0.046	0.053	0.055	0.054000000000000006	0.054000000000000006	0.057999999999999996	0.046	0.044000000000000004	0.046	0.046	0.046	0.057	0.053	0.055999999999999994	0.053	0.055
1.3	0.053	0.044000000000000004	0.045	0.046	0.047	0.054000000000000006	0.054000000000000006	0.055	0.053	0.054000000000000006	0.048	0.045	0.048	0.047	0.047	0.054000000000000006	0.054000000000000006	0.055	0.055	0.057999999999999996	0.047	0.045	0.046	0.046	0.047	0.057999999999999996	0.055	0.055999999999999994	0.055	0.055999999999999994
1.57	0.052000000000000005	0.044000000000000004	0.045	0.046	0.048	0.055	0.055	0.055	0.054000000000000006	0.055	0.049	0.046	0.049	0.048	0.048	0.055	0.055	0.055999999999999994	0.055999999999999994	0.061	0.047	0.045	0.047	0.047	0.047	0.059000000000000004	0.055	0.057	0.055999999999999994	0.055999999999999994
1.82	0.053	0.045	0.046	0.047	0.048	0.055999999999999994	0.055999999999999994	0.084	0.055	0.055999999999999994	0.05	0.047	0.05	0.049	0.049	0.055999999999999994	0.055999999999999994	0.057	0.057999999999999996	0.057999999999999996	0.048	0.046	0.048	0.047	0.048	0.059000000000000004	0.055999999999999994	0.057999999999999996	0.055	0.057
2.08	0.107	0.046	0.047	0.047	0.051	0.057	0.057	0.057999999999999996	0.055999999999999994	0.057	0.05	0.047	0.065	0.05	0.049	0.057	0.057	0.06	0.059000000000000004	0.06	0.049	0.047	0.049	0.048	0.049	0.061	0.057	0.059000000000000004	0.057	0.057999999999999996
2.35	0.057999999999999996	0.047	0.048	0.048	0.05	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.059000000000000004	0.055999999999999994	0.048	0.073	0.052000000000000005	0.051	0.057999999999999996	0.057999999999999996	0.061	0.06	0.062	0.052000000000000005	0.047	0.051	0.049	0.051	0.061	0.057999999999999996	0.06	0.057999999999999996	0.059000000000000004
2.62	0.10400000000000001	0.047	0.049	0.049	0.052000000000000005	0.059000000000000004	0.06	0.064	0.061	0.06	0.053	0.049	0.083	0.054000000000000006	0.052000000000000005	0.06	0.06	0.06	0.062	0.066	0.052000000000000005	0.048	0.052000000000000005	0.05	0.052000000000000005	0.063	0.059000000000000004	0.061	0.057999999999999996	0.059000000000000004
2.87	0.127	0.048	0.051	0.05	0.053	0.06	0.062	0.087	0.062	0.061	0.055	0.05	0.06	0.055999999999999994	0.054000000000000006	0.061	0.061	0.065	0.064	0.065	0.054000000000000006	0.05	0.054000000000000006	0.051	0.054000000000000006	0.064	0.061	0.063	0.06	0.061
3.13	0.155	0.05	0.052000000000000005	0.052000000000000005	0.055	0.062	0.063	0.063	0.064	0.063	0.057	0.052000000000000005	0.062	0.059000000000000004	0.055999999999999994	0.063	0.063	0.063	0.065	0.069	0.059000000000000004	0.051	0.057	0.053	0.055999999999999994	0.066	0.064	0.07	0.062	0.062
3.4	0.242	0.051	0.055	0.053	0.057999999999999996	0.063	0.064	0.08900000000000001	0.064	0.064	0.067	0.054000000000000006	0.067	0.066	0.059000000000000004	0.064	0.064	0.065	0.067	0.069	0.059000000000000004	0.053	0.06	0.055	0.059000000000000004	0.067	0.064	0.065	0.063	0.064
3.65	0.24	0.053	0.066	0.055	0.06	0.065	0.067	0.121	0.065	0.066	0.07200000000000001	0.055999999999999994	0.08	0.068	0.063	0.066	0.066	0.067	0.068	0.07	0.063	0.055	0.15	0.057	0.061	0.069	0.066	0.067	0.064	0.066
3.92	0.092	0.055999999999999994	0.06	0.057999999999999996	0.064	0.067	0.068	0.067	0.067	0.068	0.07	0.059000000000000004	0.077	0.073	0.067	0.067	0.068	0.069	0.071	0.075	0.066	0.057999999999999996	0.068	0.06	0.066	0.07	0.067	0.068	0.065	0.067
4.18	0.529	0.059000000000000004	0.065	0.061	0.068	0.069	0.07	0.07	0.069	0.07	0.07200000000000001	0.062	0.084	0.11	0.07200000000000001	0.069	0.071	0.071	0.073	0.077	0.071	0.061	0.113	0.063	0.07	0.07200000000000001	0.07	0.091	0.068	0.07
4.45	0.113	0.062	0.069	0.064	0.078	0.071	0.073	0.12	0.071	0.07200000000000001	0.078	0.066	0.09300000000000001	0.09	0.077	0.071	0.07400000000000001	0.07400000000000001	0.076	0.081	0.078	0.064	0.084	0.067	0.076	0.07400000000000001	0.07200000000000001	0.07200000000000001	0.07	0.071
4.7	0.161	0.067	0.07400000000000001	0.068	0.078	0.073	0.075	0.152	0.07400000000000001	0.075	0.084	0.071	0.105	0.11199999999999999	0.083	0.073	0.076	0.077	0.079	0.08199999999999999	0.085	0.069	0.08900000000000001	0.07200000000000001	0.08199999999999999	0.077	0.075	0.07400000000000001	0.07200000000000001	0.07400000000000001
