Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
0.0	0.04	0.045	0.039	0.04	0.04	0.04	0.042	0.039	0.04	0.040999999999999995	0.04	0.045	0.04	0.04	0.04	0.04	0.049	0.039	0.039	0.043	0.039	0.048	0.04	0.040999999999999995	0.039	0.04	0.05	0.039	0.04	0.04
0.25	0.04	0.051	0.039	0.04	0.039	0.04	0.049	0.039	0.04	0.052000000000000005	0.04	0.052000000000000005	0.04	0.04	0.04	0.04	0.049	0.039	0.039	0.054000000000000006	0.039	0.05	0.04	0.04	0.039	0.04	0.05	0.04	0.04	0.053
0.52	0.039	0.051	0.039	0.04	0.039	0.04	0.049	0.039	0.04	0.054000000000000006	0.04	0.052000000000000005	0.04	0.04	0.04	0.04	0.05	0.039	0.039	0.054000000000000006	0.039	0.05	0.04	0.04	0.039	0.04	0.05	0.04	0.04	0.054000000000000006
0.78	0.039	0.051	0.039	0.04	0.039	0.04	0.049	0.039	0.04	0.053	0.04	0.053	0.04	0.04	0.04	0.04	0.05	0.039	0.039	0.055	0.039	0.051	0.04	0.04	0.039	0.04	0.051	0.04	0.04	0.054000000000000006
1.03	0.039	0.053	0.039	0.04	0.039	0.04	0.05	0.039	0.04	0.054000000000000006	0.04	0.054000000000000006	0.04	0.04	0.04	0.04	0.051	0.039	0.039	0.055	0.039	0.052000000000000005	0.04	0.04	0.039	0.04	0.051	0.039	0.04	0.054000000000000006
1.3	0.039	0.054000000000000006	0.039	0.04	0.039	0.04	0.051	0.039	0.04	0.057	0.04	0.055	0.04	0.04	0.04	0.04	0.052000000000000005	0.039	0.039	0.057	0.039	0.053	0.04	0.04	0.039	0.04	0.052000000000000005	0.039	0.039	0.055
1.57	0.039	0.055	0.039	0.04	0.039	0.04	0.052000000000000005	0.039	0.04	0.055999999999999994	0.04	0.055999999999999994	0.04	0.04	0.04	0.04	0.053	0.039	0.039	0.057999999999999996	0.039	0.054000000000000006	0.04	0.04	0.039	0.04	0.053	0.04	0.04	0.055999999999999994
1.83	0.039	0.055999999999999994	0.039	0.04	0.039	0.04	0.052000000000000005	0.039	0.04	0.057999999999999996	0.04	0.057999999999999996	0.04	0.04	0.04	0.04	0.054000000000000006	0.039	0.039	0.059000000000000004	0.039	0.055	0.04	0.04	0.039	0.04	0.054000000000000006	0.039	0.04	0.057
2.08	0.039	0.057	0.039	0.04	0.039	0.04	0.053	0.039	0.04	0.059000000000000004	0.04	0.059000000000000004	0.04	0.04	0.04	0.04	0.055	0.039	0.039	0.061	0.039	0.057	0.04	0.04	0.039	0.04	0.055	0.039	0.04	0.059000000000000004
2.35	0.039	0.059000000000000004	0.039	0.04	0.039	0.04	0.054000000000000006	0.039	0.04	0.061	0.04	0.061	0.04	0.04	0.04	0.04	0.055999999999999994	0.039	0.039	0.063	0.039	0.057999999999999996	0.04	0.04	0.039	0.04	0.057	0.039	0.04	0.06
