Sample	Treatment	Strain	BiolRep	Day	TechRep	Plate
L0B1-100_1_170824_195818	0	B	1	100	1	170824_195818
L0B1-100_2_170824_195818	0	B	1	100	2	170824_195818
L0B1-100_3_170824_195818	0	B	1	100	3	170824_195818
L0B1-200_1_171002_152958	0	B	1	200	1	171002_152958
L0B1-200_2_171002_152958	0	B	1	200	2	171002_152958
L0B1-200_3_171002_152958	0	B	1	200	3	171002_152958
L0B1-300_1_171012_201847	0	B	1	300	1	171012_201847
L0B1-300_2_171012_201847	0	B	1	300	2	171012_201847
L0B1-300_3_171012_201847	0	B	1	300	3	171012_201847
L0B2-100_1_170824_195818	0	B	2	100	1	170824_195818
L0B2-100_2_170824_195818	0	B	2	100	2	170824_195818
L0B2-100_3_170824_195818	0	B	2	100	3	170824_195818
L0B2-200_1_171002_152958	0	B	2	200	1	171002_152958
L0B2-200_2_171002_152958	0	B	2	200	2	171002_152958
L0B2-200_3_171002_152958	0	B	2	200	3	171002_152958
L0B2-300_1_171012_201847	0	B	2	300	1	171012_201847
L0B2-300_2_171012_201847	0	B	2	300	2	171012_201847
L0B2-300_3_171012_201847	0	B	2	300	3	171012_201847
L0B3-100_1_170824_195818	0	B	3	100	1	170824_195818
L0B3-100_2_170824_195818	0	B	3	100	2	170824_195818
L0B3-100_3_170824_195818	0	B	3	100	3	170824_195818
L0B3-200_1_171002_152958	0	B	3	200	1	171002_152958
L0B3-200_2_171002_152958	0	B	3	200	2	171002_152958
L0B3-200_3_171002_152958	0	B	3	200	3	171002_152958
L0B3-300_1_171012_201847	0	B	3	300	1	171012_201847
L0B3-300_2_171012_201847	0	B	3	300	2	171012_201847
L0B3-300_3_171012_201847	0	B	3	300	3	171012_201847
L0B4-100_1_170824_195818	0	B	4	100	1	170824_195818
L0B4-100_2_170824_195818	0	B	4	100	2	170824_195818
L0B4-100_3_170824_195818	0	B	4	100	3	170824_195818
L0B4-200_1_171002_152958	0	B	4	200	1	171002_152958
L0B4-200_2_171002_152958	0	B	4	200	2	171002_152958
L0B4-200_3_171002_152958	0	B	4	200	3	171002_152958
