well	Strain	Bio	Tech	Condition	strain-regression	condition	interaction	gp_mse	gp_muMax_mean	gp_muMax_std	gp_CarryingCapacity_mean	gp_CarryingCapacity_std	gp_loglikelihood	gp_time
0	L2B5-500	1	1	control	0	0	0	9.015418363204653e-05	0.5352991558923872	4.2387573430176965e-05	2.4907194857335937	0.00012966091338257563	364.06016547059824	0.2965507507324219
1	L2B5-500	1	2	control	0	0	0	7.231582396263376e-05	0.580945092932745	3.5983632432706645e-05	2.795901026347549	0.00010631276648277923	367.6445439479983	0.37755870819091797
2	L0B2-500	1	2	control	1	0	0	0.0002732331505862604	0.5871942028544479	9.947435577504268e-05	2.8133339406125617	0.00036873777044039627	304.1224051366774	0.29712772369384766
3	L2B5-500	2	1	control	0	0	0	0.0006782658245093195	0.5861133830462558	0.00021890104537586777	2.6236609517932443	0.0008812404851430948	254.16443912067803	0.28605222702026367
4	L0B2-500	2	1	control	1	0	0	0.00011795161848335791	0.41077421895200134	3.515268376936379e-05	2.647368318939248	0.0001537215221987138	376.2773341643521	0.39281630516052246
5	L2B5-500	2	2	control	0	0	0	0.00025050245154397023	0.6938548784003673	0.00011242971431915305	2.19598420969046	0.00038483672215626827	300.8534186524609	0.3816697597503662
6	L0B2-500	2	2	control	1	0	0	0.00011651330002041007	0.43209374451602145	3.5676316369184724e-05	3.09657348393453	0.00015298513102358016	373.18939280354056	0.950282096862793
7	L2B5-500	3	1	control	0	0	0	6.274392143334243e-05	0.6308066007197994	3.061699515311386e-05	2.4850362701987594	9.17013284346537e-05	381.44489490874764	1.0904037952423096
8	L0B2-500	3	1	control	1	0	0	0.00010664983274363157	0.4490515095123077	2.71268351574625e-05	2.986189469373377	0.0001350378258157373	391.99997693363576	0.5119311809539795
9	L2B5-500	3	2	control	0	0	0	0.001358808729562835	0.6580299972401302	0.0005155871830619989	2.4785618249965538	0.0018128772569415978	199.41435905236926	0.4406290054321289
