Well	Sample	Bio_Rep	Tech_rep	x_axis_cutoff	Keep
A1	L2B1-500	1	1	48	TRUE
A2	L2B2-500	1	1	48	TRUE
A3	L2B3-500	1	1	48	TRUE
A4	L2B4-500	1	1	48	TRUE
A5	L2B5-500	1	1	48	TRUE
A6	L0B1-500	1	1	48	TRUE
A7	L0B2-500	1	1	48	TRUE
A8	blank_media	1	1	48	FALSE
B1	L2B1-500	1	2	48	TRUE
B2	L2B2-500	1	2	48	TRUE
B3	L2B3-500	1	2	48	TRUE
B4	L2B4-500	1	2	48	TRUE
B5	L2B5-500	1	2	48	TRUE
B6	L0B1-500	1	2	48	TRUE
B7	L0B2-500	1	2	48	TRUE
B8	blank_media	1	2	48	FALSE
C1	L2B1-500	2	1	48	TRUE
C2	L2B2-500	2	1	48	TRUE
C3	L2B3-500	2	1	48	TRUE
C4	L2B4-500	2	1	48	TRUE
C5	L2B5-500	2	1	48	TRUE
C6	L0B1-500	2	1	48	TRUE
C7	L0B2-500	2	1	48	TRUE
C8	blank_media	2	1	48	FALSE
D1	L2B1-500	2	2	48	TRUE
D2	L2B2-500	2	2	48	TRUE
D3	L2B3-500	2	2	48	TRUE
D4	L2B4-500	2	2	48	TRUE
D5	L2B5-500	2	2	48	TRUE
D6	L0B1-500	2	2	48	TRUE
D7	L0B2-500	2	2	48	TRUE
D8	blank	2	2	48	FALSE
E1	L2B1-500	3	1	48	TRUE
E2	L2B2-500	3	1	48	TRUE
E3	L2B3-500	3	1	48	TRUE
E4	L2B4-500	3	1	48	TRUE
E5	L2B5-500	3	1	48	TRUE
E6	L0B1-500	3	1	48	TRUE
E7	L0B2-500	3	1	48	TRUE
E8	blank	3	1	48	FALSE
F1	L2B1-500	3	2	48	TRUE
F2	L2B2-500	3	2	48	TRUE
F3	L2B3-500	3	2	48	TRUE
F4	L2B4-500	3	2	48	TRUE
F5	L2B5-500	3	2	48	TRUE
F6	L0B1-500	3	2	48	TRUE
F7	L0B2-500	3	2	48	TRUE
F8	blank	3	2	48	FALSE
